,clf,max_depth,max_features_sporf,sporf_fc,budget,max_features_sk,loss
0,sporf,5828,2.0115921200003988,2.0,18.51851851851852,,0.13070452155625656
1,sporf,3272,3.7847286530352933,1.0,166.66666666666666,,0.12933753943217663
2,sporf,3272,3.7847286530352933,1.0,166.66666666666666,,0.12292323869610933
3,sporf,3272,3.7847286530352933,1.0,166.66666666666666,,0.1226077812828601
4,skrf,4478,,,55.55555555555555,0.43821615833688793,0.12986330178759198
5,skrf,4478,,,55.55555555555555,0.43821615833688793,0.12702418506834912
6,skrf,1331,,,18.51851851851852,0.13203668977255575,0.1406940063091483
7,skrf,52,,,18.51851851851852,0.7831139434344722,0.1332281808622503
8,skrf,395,,,18.51851851851852,0.4794510479997594,0.13196635120925337
9,skrf,7992,,,55.55555555555555,0.5385757347170591,0.13028391167192432
10,skrf,7992,,,55.55555555555555,0.5385757347170591,0.12660357518401677
11,sporf,1512,1.6093323207003285,3.0,18.51851851851852,,0.13091482649842268
12,skrf,4,,,18.51851851851852,0.41524547918229027,0.17097791798107254
13,skrf,28,,,55.55555555555555,0.31673909775581854,0.1299684542586751
14,skrf,28,,,55.55555555555555,0.31673909775581854,0.12534174553101995
15,sporf,26,0.1374305623257602,1.5,18.51851851851852,,0.13669821240799163
16,sporf,9,2.2210717740490855,1.5,18.51851851851852,,0.13785488958990533
17,sporf,29,2.0025136382245003,3.0,500.0,,0.12712933753943223
18,sporf,29,2.0025136382245003,3.0,500.0,,0.12281808622502632
19,sporf,29,2.0025136382245003,3.0,500.0,,0.12082018927444793
20,sporf,29,2.0025136382245003,3.0,500.0,,0.12218717139852786
21,sporf,1506,2.7439316636432562,3.0,18.51851851851852,,0.13091482649842268
22,sporf,6,2.6958227904485454,1.5,18.51851851851852,,0.14858044164037854
23,sporf,3,3.627455819431728,2.5,18.51851851851852,,0.1748685594111462
24,sporf,20,0.5060221095126822,1.5,18.51851851851852,,0.13249211356466872
25,skrf,299,,,18.51851851851852,0.867401400256793,0.13301787592008407
26,skrf,2368,,,55.55555555555555,0.39038970332452216,0.1299684542586751
