,clf,max_depth,max_features_sk,budget,max_features_sporf,sporf_fc,loss
0,skrf,600,0.7996837247585009,18.51851851851852,,,0.10667556742323092
1,sporf,4773,,18.51851851851852,1.071395435608192,2.0,0.08624833110814423
2,skrf,223,0.8196547300625727,18.51851851851852,,,0.10467289719626172
3,skrf,1923,0.6054833511151223,18.51851851851852,,,0.10133511348464619
4,sporf,1371,,18.51851851851852,0.7845009442356831,2.5,0.08010680907877166
5,sporf,27,,18.51851851851852,0.7976067465200751,3.0,0.0783711615487317
6,sporf,878,,18.51851851851852,0.9180055448258215,2.5,0.07983978638184241
7,skrf,3,0.5402911302617163,18.51851851851852,,,0.28918558077436585
8,skrf,1542,0.5096398045922998,18.51851851851852,,,0.10373831775700937
9,sporf,2122,,55.55555555555555,3.4472608256721413,8.0,0.06582109479305742
10,sporf,2122,,55.55555555555555,3.4472608256721413,8.0,0.05594125500667557
11,sporf,2,,18.51851851851852,0.8972392792960007,3.0,0.318958611481976
12,sporf,1025,,55.55555555555555,3.8808552094849507,2.0,0.07222963951935912
13,sporf,1025,,55.55555555555555,3.8808552094849507,2.0,0.06194926568758341
14,sporf,50,,18.51851851851852,0.8642104480169721,2.5,0.07663551401869162
15,sporf,885,,18.51851851851852,3.097543067566544,1.5,0.07810413885180245
16,sporf,918,,55.55555555555555,3.353921753472245,3.0,0.06889185580774371
17,sporf,918,,55.55555555555555,3.353921753472245,3.0,0.05807743658210951
18,sporf,1839,,18.51851851851852,2.9030629868861975,2.5,0.0746328437917223
19,sporf,552,,55.55555555555555,3.1716764779615145,4.0,0.06675567423230977
20,sporf,552,,55.55555555555555,3.1716764779615145,4.0,0.05954606141522034
21,sporf,6130,,166.66666666666666,3.2307665857365073,4.0,0.0682242990654206
22,sporf,6130,,166.66666666666666,3.2307665857365073,4.0,0.05580774365821095
23,sporf,6130,,166.66666666666666,3.2307665857365073,4.0,0.055006675567423224
24,sporf,271,,18.51851851851852,0.3142717142583014,1.5,0.08811748998664881
25,sporf,5811,,18.51851851851852,2.877529377110557,2.0,0.07770360480640859
26,sporf,6401,,55.55555555555555,3.4441239212513355,2.5,0.07102803738317753
27,sporf,6401,,55.55555555555555,3.4441239212513355,2.5,0.06288384512683576
28,sporf,233,,166.66666666666666,3.8561167578349407,4.0,0.06555407209612818
29,sporf,233,,166.66666666666666,3.8561167578349407,4.0,0.05580774365821095
30,sporf,233,,166.66666666666666,3.8561167578349407,4.0,0.05300400534045391
31,sporf,2,,18.51851851851852,1.6407811580921143,8.0,0.3309746328437917
32,sporf,789,,500.0,3.652259609050252,8.0,0.06969292389853132
33,sporf,789,,500.0,3.652259609050252,8.0,0.05527369826435247
34,sporf,789,,500.0,3.652259609050252,8.0,0.051535380507343076
35,sporf,789,,500.0,3.652259609050252,8.0,0.0516688918558077
36,sporf,107,,55.55555555555555,3.783924869920031,2.0,0.07102803738317753
37,sporf,107,,55.55555555555555,3.783924869920031,2.0,0.06074766355140182
38,skrf,138,0.31371566274805024,18.51851851851852,,,0.10640854472630179
39,sporf,23,,18.51851851851852,2.2869643425723485,1.0,0.08371161548731643
40,sporf,1651,,166.66666666666666,3.6236824712653757,2.5,0.05914552736982648
41,sporf,1651,,166.66666666666666,3.6236824712653757,2.5,0.05714285714285716
42,sporf,468,,55.55555555555555,3.271137672376415,2.0,0.06168224299065417
43,skrf,562,0.491812771968431,55.55555555555555,,,0.08771695594125506
44,skrf,2062,0.1520753920113119,55.55555555555555,,,0.0937249666221629
45,sporf,2564,,500.0,3.592331457060149,2.5,0.058878504672897236
46,sporf,2564,,500.0,3.592331457060149,2.5,0.05660881174899868
47,sporf,2564,,500.0,3.592331457060149,2.5,0.05567423230974633
48,skrf,12,0.5437341982350026,55.55555555555555,,,0.11388518024032046
49,sporf,114,,55.55555555555555,3.7068349035879455,2.0,0.06181575433911879
50,sporf,593,,55.55555555555555,0.8404722026996612,2.5,0.06448598130841121
51,sporf,2319,,166.66666666666666,3.4325160533500823,2.0,0.06034712950600796
52,sporf,2319,,166.66666666666666,3.4325160533500823,2.0,0.05821094793057413
53,sporf,834,,166.66666666666666,3.5647623643063926,2.5,0.05807743658210951
54,sporf,1872,,500.0,3.29886586076777,2.5,0.055140186915887845
55,sporf,1872,,500.0,3.29886586076777,2.5,0.055006675567423224
56,sporf,30,,166.66666666666666,3.2774133968516717,3.0,0.05687583444592792
57,sporf,2360,,500.0,3.1986031243130673,8.0,0.05313751668891853
58,sporf,2360,,500.0,3.1986031243130673,8.0,0.052603471295060045
59,skrf,22,0.12071602770796015,166.66666666666666,,,0.10640854472630179
60,sporf,74,,166.66666666666666,3.581743698793762,1.5,0.059946595460614205
61,sporf,4294,,500.0,3.232267187211476,1.0,0.06555407209612818
62,skrf,80,0.898457231959332,500.0,,,0.08945260347129502
63,skrf,4795,0.0887149713724847,500.0,,,0.10040053404539384
64,sporf,1815,,500.0,3.4218209015264973,1.5,0.05914552736982648
65,sporf,1065,,18.51851851851852,0.9362790268462347,1.0,0.09052069425901199
66,skrf,4,0.4768233319159993,18.51851851851852,,,0.2632843791722297
67,skrf,1664,0.42287195687470297,18.51851851851852,,,0.09893190921228301
68,sporf,1587,,18.51851851851852,3.299565986450971,1.5,0.07943925233644855
69,sporf,972,,55.55555555555555,3.6350001417660467,1.0,0.07543391188251003
70,sporf,972,,55.55555555555555,3.6350001417660467,1.0,0.06648865153538053
71,sporf,3287,,18.51851851851852,3.1571235930656565,2.0,0.07703604806408548
72,sporf,3924,,55.55555555555555,3.2263264109391137,2.5,0.07409879839786382
73,sporf,3924,,55.55555555555555,3.2263264109391137,2.5,0.061148197596795684
74,sporf,33,,55.55555555555555,0.8752875424993303,3.0,0.07516688918558079
75,sporf,33,,55.55555555555555,0.8752875424993303,3.0,0.06435246995994659
76,sporf,3558,,55.55555555555555,3.3107509853744452,2.0,0.07009345794392519
77,sporf,3558,,55.55555555555555,3.3107509853744452,2.0,0.06328437917222962
78,sporf,1549,,166.66666666666666,3.3092504394254743,2.0,0.07383177570093458
79,sporf,1549,,166.66666666666666,3.3092504394254743,2.0,0.06034712950600796
80,sporf,1549,,166.66666666666666,3.3092504394254743,2.0,0.05901201602136186
81,sporf,1611,,18.51851851851852,3.22626541927486,1.0,0.07943925233644855
82,sporf,2921,,18.51851851851852,3.2313633692715324,1.0,0.081041388518024
83,sporf,146,,18.51851851851852,3.195946166691922,1.0,0.08424566088117491
84,sporf,1361,,18.51851851851852,3.3717950146935265,1.0,0.08010680907877166
85,sporf,5256,,55.55555555555555,3.319476559387507,1.5,0.07636849132176238
86,sporf,5256,,55.55555555555555,3.319476559387507,1.5,0.06488651535380507
87,sporf,3011,,18.51851851851852,3.235426246701545,1.5,0.07743658210947935
88,skrf,184,0.8909843816090771,18.51851851851852,,,0.10827770360480637
89,sporf,2721,,18.51851851851852,3.457381974554951,1.5,0.07810413885180245
90,sporf,1425,,18.51851851851852,2.1153398885610004,1.0,0.08584779706275036
91,sporf,2716,,166.66666666666666,3.3043238258027556,2.0,0.07222963951935912
92,sporf,2716,,166.66666666666666,3.3043238258027556,2.0,0.05807743658210951
93,sporf,2716,,166.66666666666666,3.3043238258027556,2.0,0.0592790387182911
94,sporf,4787,,55.55555555555555,3.223589523873891,1.5,0.07623497997329776
95,sporf,4787,,55.55555555555555,3.223589523873891,1.5,0.063150867823765
96,skrf,38,0.7495274860913835,18.51851851851852,,,0.10814419225634175
97,skrf,5819,0.8017253044612201,18.51851851851852,,,0.10680907877169554
98,sporf,1367,,18.51851851851852,3.4770742769797334,2.0,0.07770360480640859
99,sporf,3267,,18.51851851851852,3.1441552071943253,1.0,0.08170894526034711
100,sporf,3278,,18.51851851851852,3.339189557102719,1.5,0.07743658210947935
101,sporf,2354,,500.0,3.237340086322895,8.0,0.06715620827770363
102,sporf,2354,,500.0,3.237340086322895,8.0,0.055006675567423224
103,sporf,2354,,500.0,3.237340086322895,8.0,0.0523364485981308
104,sporf,2354,,500.0,3.237340086322895,8.0,0.051268357810413834
105,sporf,1026,,55.55555555555555,3.498437079284014,1.0,0.07076101468624829
106,sporf,3808,,55.55555555555555,3.3066292089811538,1.0,0.07129506008010678
107,skrf,164,0.6367903794414519,55.55555555555555,,,0.08878504672897192
108,sporf,2013,,166.66666666666666,3.2165040719213382,4.0,0.06034712950600796
109,sporf,2013,,166.66666666666666,3.2165040719213382,4.0,0.05433911882510012
110,sporf,2022,,500.0,3.437214009973009,4.0,0.05794392523364489
111,sporf,2022,,500.0,3.437214009973009,4.0,0.052736982643524666
112,sporf,2022,,500.0,3.437214009973009,4.0,0.05340453938584777
113,sporf,5344,,166.66666666666666,0.5227015191501344,8.0,0.06275033377837114
114,sporf,5344,,166.66666666666666,0.5227015191501344,8.0,0.061148197596795684
115,sporf,3370,,55.55555555555555,3.345721035490124,1.0,0.06728971962616825
116,sporf,1480,,55.55555555555555,3.494844138284496,2.0,0.0638184245660881
117,sporf,2577,,55.55555555555555,3.3971494716767268,1.0,0.06862483311081446
118,sporf,3593,,166.66666666666666,3.0697722016663995,4.0,0.05473965287049398
119,sporf,845,,166.66666666666666,0.8918513178945687,1.0,0.07182910547396526
120,sporf,1783,,500.0,3.5641859189643883,8.0,0.05300400534045391
121,sporf,1783,,500.0,3.5641859189643883,8.0,0.05180240320427232
