,clf,max_depth,max_features_sporf,sporf_fc,budget,max_features_sk,loss
0,sporf,4457,1.0065388620453513,3.0,18.51851851851852,,0.29846153846153844
1,sporf,15,1.8602333836649374,2.5,18.51851851851852,,0.3007692307692308
2,skrf,1111,,,166.66666666666666,0.4553719539756623,0.2369230769230769
3,skrf,1111,,,166.66666666666666,0.4553719539756623,0.21153846153846156
4,skrf,1111,,,166.66666666666666,0.4553719539756623,0.20769230769230773
5,skrf,10,,,55.55555555555555,0.5855717494638434,0.24769230769230766
6,skrf,10,,,55.55555555555555,0.5855717494638434,0.21692307692307689
7,skrf,2,,,18.51851851851852,0.6354500607349153,0.32999999999999996
8,sporf,92,1.1315407838536073,3.0,18.51851851851852,,0.2976923076923077
9,sporf,218,1.0061449067409143,2.0,18.51851851851852,,0.2561538461538462
10,sporf,596,3.832818442988645,1.0,18.51851851851852,,0.2515384615384615
11,skrf,3524,,,55.55555555555555,0.480031802857446,0.22076923076923072
12,skrf,3524,,,55.55555555555555,0.480031802857446,0.22615384615384615
13,skrf,6,,,55.55555555555555,0.6526931701155124,0.24461538461538457
14,skrf,6,,,55.55555555555555,0.6526931701155124,0.2253846153846154
15,skrf,734,,,18.51851851851852,0.1853867768878622,0.2684615384615384
16,skrf,1930,,,18.51851851851852,0.14413381050615628,0.2976923076923077
17,skrf,40,,,18.51851851851852,0.8267544170101855,0.2569230769230769
18,sporf,1346,3.9043062257488237,3.0,18.51851851851852,,0.2861538461538462
19,skrf,116,,,55.55555555555555,0.5632548079239429,0.24230769230769234
20,skrf,116,,,55.55555555555555,0.5632548079239429,0.22230769230769232
21,skrf,1693,,,166.66666666666666,0.5545466193838742,0.2384615384615385
22,skrf,1693,,,166.66666666666666,0.5545466193838742,0.1992307692307692
23,skrf,1693,,,166.66666666666666,0.5545466193838742,0.22153846153846157
24,sporf,215,3.174512066445778,2.5,18.51851851851852,,0.27230769230769236
25,skrf,1374,,,18.51851851851852,0.5194394899976015,0.2584615384615384
26,skrf,1187,,,18.51851851851852,0.062075346964462465,0.3784615384615385
27,skrf,2,,,18.51851851851852,0.7360043723399591,0.33307692307692305
28,sporf,824,1.8634167197758724,3.0,18.51851851851852,,0.29846153846153844
29,skrf,902,,,500.0,0.5556554307770504,0.2284615384615385
30,skrf,902,,,500.0,0.5556554307770504,0.2123076923076923
31,skrf,902,,,500.0,0.5556554307770504,0.20615384615384613
32,skrf,902,,,500.0,0.5556554307770504,0.2023076923076923
33,skrf,4458,,,18.51851851851852,0.6440862476287809,0.3023076923076923
34,skrf,989,,,55.55555555555555,0.5370383627257683,0.24538461538461542
35,skrf,989,,,55.55555555555555,0.5370383627257683,0.2269230769230769
36,skrf,2657,,,55.55555555555555,0.4775664043921105,0.2415384615384616
37,skrf,2657,,,55.55555555555555,0.4775664043921105,0.22923076923076924
38,skrf,1913,,,18.51851851851852,0.09005009994047025,0.33153846153846156
39,skrf,1743,,,18.51851851851852,0.5349906773068396,0.2569230769230769
40,sporf,533,3.3344441267053924,4.0,55.55555555555555,,0.26384615384615384
