,clf,max_depth,max_features_sk,budget,max_features_sporf,sporf_fc,loss
0,skrf,126,0.24901106539034232,18.51851851851852,,,0.05531969638492218
1,sporf,146,,18.51851851851852,2.320333382150319,4.0,0.05274668725073972
2,sporf,791,,18.51851851851852,1.4253577547696428,2.5,0.052489386337321475
3,sporf,92,,18.51851851851852,3.809948095477348,2.5,0.05300398816415797
4,skrf,2251,0.22690070833598028,18.51851851851852,,,0.05467644410137651
5,skrf,6172,0.23535109183513303,18.51851851851852,,,0.05750675414897721
6,skrf,87,0.7855454836434457,18.51851851851852,,,0.05326128907757621
7,sporf,30,,166.66666666666666,2.18531842440827,3.0,0.05210343496719416
8,sporf,30,,166.66666666666666,2.18531842440827,3.0,0.04875852309275697
9,sporf,30,,166.66666666666666,2.18531842440827,3.0,0.05030232857326644
10,sporf,5,,18.51851851851852,3.497360782757438,2.5,0.059179210086195755
11,sporf,114,,55.55555555555555,1.9343904024523977,3.0,0.05055962948668469
12,sporf,114,,55.55555555555555,1.9343904024523977,3.0,0.051202881770230246
13,skrf,34,0.5870390424418137,18.51851851851852,,,0.05274668725073972
14,sporf,539,,55.55555555555555,3.839188084563152,2.0,0.04978772674642995
15,sporf,539,,55.55555555555555,3.839188084563152,2.0,0.05030232857326644
16,sporf,29,,18.51851851851852,2.524403975624395,2.0,0.053775890904412704
17,sporf,2228,,18.51851851851852,0.1287878923422737,2.5,0.6702688794545221
18,sporf,375,,55.55555555555555,1.9503629609469484,2.5,0.051331532226939425
19,sporf,375,,55.55555555555555,1.9503629609469484,2.5,0.051974784510484984
20,sporf,2143,,18.51851851851852,1.0257750821193947,8.0,0.053775890904412704
21,sporf,49,,18.51851851851852,0.46284458285188396,8.0,0.055448346841631246
22,sporf,532,,18.51851851851852,3.5465327812626444,2.5,0.05326128907757621
23,sporf,83,,55.55555555555555,2.593139869339899,2.5,0.05158883314035767
24,sporf,83,,55.55555555555555,2.593139869339899,2.5,0.04965907628972088
25,sporf,1760,,500.0,3.685693785236824,2.5,0.05081693040010293
26,sporf,1760,,500.0,3.685693785236824,2.5,0.04927312491959346
27,sporf,1760,,500.0,3.685693785236824,2.5,0.0486298726360479
28,sporf,1760,,500.0,3.685693785236824,2.5,0.04914447446288439
29,sporf,3798,,55.55555555555555,2.3379180120066905,8.0,0.05043097902997551
30,sporf,3798,,55.55555555555555,2.3379180120066905,8.0,0.04991637720313902
31,sporf,674,,166.66666666666666,3.90380446780037,4.0,0.05055962948668469
32,sporf,674,,166.66666666666666,3.90380446780037,4.0,0.048887173549466145
33,sporf,674,,166.66666666666666,3.90380446780037,4.0,0.04927312491959346
34,sporf,5346,,18.51851851851852,3.3710526697312035,3.0,0.05223208542390323
