,clf,max_depth,max_features_sporf,sporf_fc,budget,max_features_sk,loss
0,sporf,67,3.163424063053285,2.0,18.51851851851852,,0.07299999999999995
1,sporf,8,0.27181442430339325,4.0,18.51851851851852,,0.06899999999999995
2,sporf,5,3.7300592054141846,2.0,18.51851851851852,,0.126
3,skrf,384,,,18.51851851851852,0.6792876659028596,0.07899999999999996
4,skrf,1215,,,18.51851851851852,0.44821279845566264,0.09199999999999997
5,sporf,5477,2.5836841446457197,4.0,166.66666666666666,,0.05300000000000005
6,sporf,5477,2.5836841446457197,4.0,166.66666666666666,,0.040000000000000036
7,sporf,5477,2.5836841446457197,4.0,166.66666666666666,,0.040000000000000036
8,skrf,2209,,,18.51851851851852,0.6357078227297366,0.08299999999999996
9,skrf,12,,,18.51851851851852,0.6235177543960507,0.09299999999999997
10,sporf,26,2.7126220866257036,4.0,55.55555555555555,,0.05900000000000005
11,sporf,26,2.7126220866257036,4.0,55.55555555555555,,0.04500000000000004
12,skrf,7,,,18.51851851851852,0.47671386361928064,0.09999999999999998
13,sporf,100,2.501490224533595,1.5,55.55555555555555,,0.06399999999999995
14,sporf,100,2.501490224533595,1.5,55.55555555555555,,0.05500000000000005
15,skrf,31,,,18.51851851851852,0.6167551473607629,0.09599999999999997
16,sporf,449,3.8710253482481782,1.5,55.55555555555555,,0.05700000000000005
17,sporf,449,3.8710253482481782,1.5,55.55555555555555,,0.052000000000000046
18,sporf,2,3.7272296164235788,1.5,18.51851851851852,,0.5700000000000001
19,sporf,12,1.08548712893528,4.0,55.55555555555555,,0.061000000000000054
20,sporf,12,1.08548712893528,4.0,55.55555555555555,,0.04700000000000004
21,sporf,367,1.035150811069992,8.0,166.66666666666666,,0.049000000000000044
22,sporf,367,1.035150811069992,8.0,166.66666666666666,,0.040000000000000036
23,sporf,367,1.035150811069992,8.0,166.66666666666666,,0.038000000000000034
24,sporf,96,3.169788821902519,2.0,18.51851851851852,,0.06899999999999995
25,skrf,75,,,18.51851851851852,0.21805058690851076,0.08299999999999996
26,sporf,3,0.7280366136544056,1.0,18.51851851851852,,0.379
27,sporf,54,2.9578991103551164,2.0,18.51851851851852,,0.06899999999999995
28,sporf,7,1.8584467924566357,4.0,18.51851851851852,,0.07499999999999996
29,sporf,2461,3.6526161589904307,2.0,18.51851851851852,,0.07799999999999996
30,sporf,109,2.751925849160031,2.0,55.55555555555555,,0.05600000000000005
31,sporf,109,2.751925849160031,2.0,55.55555555555555,,0.05300000000000005
32,sporf,228,0.2541320614212106,4.0,55.55555555555555,,0.06399999999999995
33,sporf,228,0.2541320614212106,4.0,55.55555555555555,,0.050000000000000044
34,sporf,109,2.619431698763924,8.0,500.0,,0.04600000000000004
35,sporf,109,2.619431698763924,8.0,500.0,,0.039000000000000035
36,sporf,109,2.619431698763924,8.0,500.0,,0.03600000000000003
37,sporf,109,2.619431698763924,8.0,500.0,,0.03500000000000003
38,sporf,6,1.3403956129376222,1.5,18.51851851851852,,0.10499999999999998
