,clf,max_depth,max_features_sk,budget,max_features_sporf,sporf_fc,loss
0,skrf,2036,0.4477300638781682,18.51851851851852,,,0.0635
1,sporf,66,,166.66666666666666,1.9714567278238309,2.5,0.05820000000000003
2,sporf,66,,166.66666666666666,1.9714567278238309,2.5,0.043200000000000016
3,sporf,66,,166.66666666666666,1.9714567278238309,2.5,0.04079999999999995
4,skrf,2,0.10259810703582982,18.51851851851852,,,0.5904
5,skrf,2,0.3791041948259246,18.51851851851852,,,0.6287
6,sporf,2839,,18.51851851851852,1.558313679666971,1.5,0.06230000000000002
7,skrf,47,0.7626294160908873,18.51851851851852,,,0.07199999999999995
8,skrf,386,0.8601032055484801,18.51851851851852,,,0.06989999999999996
9,skrf,13,0.3363320821956631,18.51851851851852,,,0.09570000000000001
10,skrf,85,0.19069448237895545,18.51851851851852,,,0.061899999999999955
11,sporf,5244,,55.55555555555555,1.5555134771662706,2.5,0.057699999999999974
12,sporf,5244,,55.55555555555555,1.5555134771662706,2.5,0.04530000000000001
13,skrf,25,0.3053612291088017,18.51851851851852,,,0.06720000000000004
14,sporf,8,,18.51851851851852,3.387540892286268,1.5,0.3157
15,skrf,30,0.3428083911865905,18.51851851851852,,,0.0615
16,sporf,1167,,166.66666666666666,1.536095836068169,3.0,0.055300000000000016
17,sporf,1167,,166.66666666666666,1.536095836068169,3.0,0.04359999999999997
18,sporf,1167,,166.66666666666666,1.536095836068169,3.0,0.04200000000000004
19,sporf,1036,,55.55555555555555,1.5802724078605184,3.0,0.05810000000000004
20,sporf,1036,,55.55555555555555,1.5802724078605184,3.0,0.04510000000000003
21,sporf,74,,55.55555555555555,1.9339873918240675,4.0,0.05810000000000004
22,sporf,74,,55.55555555555555,1.9339873918240675,4.0,0.04630000000000001
23,sporf,2553,,18.51851851851852,1.462837794231698,3.0,0.06110000000000004
24,sporf,100,,55.55555555555555,1.8776556393708048,2.5,0.055499999999999994
25,sporf,100,,55.55555555555555,1.8776556393708048,2.5,0.04630000000000001
26,sporf,544,,18.51851851851852,1.778143053870726,2.5,0.05930000000000002
27,sporf,1462,,500.0,1.5157283124182346,3.0,0.05710000000000004
28,sporf,1462,,500.0,1.5157283124182346,3.0,0.04459999999999997
29,sporf,1462,,500.0,1.5157283124182346,3.0,0.04049999999999998
30,sporf,1462,,500.0,1.5157283124182346,3.0,0.0393
31,sporf,11,,18.51851851851852,0.9177307110047922,1.5,0.16069999999999995
32,sporf,1885,,18.51851851851852,1.404725176347066,3.0,0.061000000000000054
33,skrf,1364,0.805217285035099,18.51851851851852,,,0.0736
