,clf,max_depth,max_features_sporf,sporf_fc,budget,max_features_sk,loss
0,sporf,57,3.8383385394535834,3.0,18.51851851851852,,0.30800000000000005
1,sporf,2039,3.114957800102309,1.5,18.51851851851852,,0.30800000000000005
2,sporf,1015,0.6117722639373144,1.5,18.51851851851852,,0.30400000000000005
3,skrf,20,,,18.51851851851852,0.4311695577775639,0.30900000000000005
4,skrf,159,,,55.55555555555555,0.47423936017939067,0.30300000000000005
5,skrf,159,,,55.55555555555555,0.47423936017939067,0.30000000000000004
6,skrf,4,,,18.51851851851852,0.6439729942873754,0.361
7,skrf,12,,,55.55555555555555,0.7659329139953273,0.29300000000000004
8,skrf,12,,,55.55555555555555,0.7659329139953273,0.29700000000000004
9,sporf,6,0.21044218914436763,8.0,18.51851851851852,,0.31999999999999995
10,skrf,2,,,18.51851851851852,0.21617916206502935,0.376
11,skrf,1382,,,18.51851851851852,0.09090869911705933,0.31000000000000005
12,sporf,2212,1.6866504386715184,2.5,18.51851851851852,,0.30600000000000005
13,sporf,10,1.0891041035359468,1.5,500.0,,0.29700000000000004
14,sporf,10,1.0891041035359468,1.5,500.0,,0.28800000000000003
15,sporf,10,1.0891041035359468,1.5,500.0,,0.28200000000000003
16,sporf,10,1.0891041035359468,1.5,500.0,,0.29100000000000004
17,skrf,1772,,,55.55555555555555,0.5087926665186705,0.29500000000000004
18,skrf,1772,,,55.55555555555555,0.5087926665186705,0.30100000000000005
19,skrf,4,,,18.51851851851852,0.3744993714772171,0.31399999999999995
20,skrf,2767,,,18.51851851851852,0.6873436045032758,0.31000000000000005
21,skrf,3333,,,18.51851851851852,0.6980750673013236,0.30800000000000005
22,sporf,19,2.5643209410441266,3.0,18.51851851851852,,0.31100000000000005
23,sporf,6478,2.167479086785808,1.5,18.51851851851852,,0.31200000000000006
24,sporf,2987,1.8913710114211981,1.5,166.66666666666666,,0.29600000000000004
25,sporf,2987,1.8913710114211981,1.5,166.66666666666666,,0.29400000000000004
26,sporf,2987,1.8913710114211981,1.5,166.66666666666666,,0.30300000000000005
27,sporf,43,1.2025278217157265,1.5,18.51851851851852,,0.30300000000000005
28,sporf,1957,2.0630708126838444,1.5,18.51851851851852,,0.30800000000000005
29,skrf,153,,,55.55555555555555,0.5157784945850341,0.29700000000000004
30,skrf,153,,,55.55555555555555,0.5157784945850341,0.30100000000000005
31,skrf,65,,,166.66666666666666,0.5118597065601119,0.29400000000000004
32,skrf,65,,,166.66666666666666,0.5118597065601119,0.29400000000000004
33,skrf,65,,,166.66666666666666,0.5118597065601119,0.29700000000000004
34,skrf,274,,,55.55555555555555,0.5304986307367052,0.30100000000000005
35,skrf,274,,,55.55555555555555,0.5304986307367052,0.31000000000000005
36,skrf,11,,,18.51851851851852,0.5317106169146535,0.30500000000000005
37,sporf,191,3.099710969726949,1.5,55.55555555555555,,0.29900000000000004
38,sporf,191,3.099710969726949,1.5,55.55555555555555,,0.30900000000000005
39,skrf,1517,,,18.51851851851852,0.6043069660801677,0.31200000000000006
40,skrf,4858,,,166.66666666666666,0.49432636230080357,0.29200000000000004
41,skrf,4858,,,166.66666666666666,0.49432636230080357,0.29800000000000004
42,sporf,241,1.162048293625321,2.0,55.55555555555555,,0.30000000000000004
43,sporf,61,1.1613576004791684,2.0,55.55555555555555,,0.30000000000000004
44,sporf,4,1.0037616460945924,1.5,55.55555555555555,,0.368
45,skrf,4546,,,166.66666666666666,0.24645444209983725,0.29700000000000004
46,skrf,4546,,,166.66666666666666,0.24645444209983725,0.29800000000000004
47,skrf,5747,,,55.55555555555555,0.27537997426305916,0.30000000000000004
48,skrf,10,,,500.0,0.8754824568341313,0.28400000000000003
49,skrf,10,,,500.0,0.8754824568341313,0.29100000000000004
50,skrf,10,,,500.0,0.8754824568341313,0.28900000000000003
51,sporf,853,2.2779091375736384,1.5,55.55555555555555,,0.30200000000000005
52,sporf,33,0.36269711060364235,1.5,55.55555555555555,,0.30100000000000005
53,skrf,4,,,166.66666666666666,0.8897891855826296,0.377
54,sporf,53,1.858443281110965,1.5,166.66666666666666,,0.30400000000000005
55,skrf,3499,,,166.66666666666666,0.8800172818716256,0.29500000000000004
56,skrf,6,,,500.0,0.7565575749385198,0.29100000000000004
57,skrf,6,,,500.0,0.7565575749385198,0.29500000000000004
58,sporf,5573,1.3559580224300058,2.5,166.66666666666666,,0.29800000000000004
59,skrf,299,,,500.0,0.4744324039447403,0.29200000000000004
60,skrf,299,,,500.0,0.4744324039447403,0.29700000000000004
61,skrf,33,,,500.0,0.20069065512304285,0.29700000000000004
