,clf,max_depth,max_features_sk,budget,max_features_sporf,sporf_fc,loss
0,skrf,16,0.6961926263977554,55.55555555555555,,,0.05288082083662193
1,skrf,16,0.6961926263977554,55.55555555555555,,,0.05367008681925811
2,sporf,142,,18.51851851851852,1.641851438606008,1.5,0.056037884767166535
3,skrf,24,0.38265389053294296,18.51851851851852,,,0.05524861878453036
4,sporf,4979,,18.51851851851852,1.1756230160065242,4.0,0.05367008681925811
5,skrf,1854,0.707954091919743,55.55555555555555,,,0.05288082083662193
6,skrf,1854,0.707954091919743,55.55555555555555,,,0.05288082083662193
7,skrf,209,0.029570464183207565,18.51851851851852,,,0.05445935280189429
8,skrf,2,0.06317391523290615,18.51851851851852,,,0.056037884767166535
9,sporf,3,,55.55555555555555,2.5365134842617776,4.0,0.05288082083662193
10,sporf,3,,55.55555555555555,2.5365134842617776,4.0,0.05367008681925811
11,skrf,2,0.02550119519600802,18.51851851851852,,,0.056037884767166535
12,skrf,2,0.61147203635284,18.51851851851852,,,0.05682715074980271
13,skrf,2185,0.2504960422700516,166.66666666666666,,,0.05130228887134969
14,skrf,2185,0.2504960422700516,166.66666666666666,,,0.04814522494080509
15,skrf,2185,0.2504960422700516,166.66666666666666,,,0.05130228887134969
16,sporf,3,,18.51851851851852,1.1757777217386236,8.0,0.05288082083662193
17,sporf,6677,,18.51851851851852,1.7031992939086749,8.0,0.05761641673243878
18,skrf,740,0.3550349085014355,55.55555555555555,,,0.04972375690607733
19,skrf,740,0.3550349085014355,55.55555555555555,,,0.05367008681925811
20,sporf,24,,18.51851851851852,1.2326508013320734,4.0,0.05367008681925811
21,sporf,7,,18.51851851851852,1.471054448823461,1.5,0.05288082083662193
22,sporf,10,,18.51851851851852,3.0146050864998264,3.0,0.05367008681925811
23,sporf,8,,500.0,1.2451873814751973,1.5,0.052091554853985755
24,sporf,8,,500.0,1.2451873814751973,1.5,0.05130228887134969
25,sporf,8,,500.0,1.2451873814751973,1.5,0.04972375690607733
26,sporf,8,,500.0,1.2451873814751973,1.5,0.05051302288871351
27,skrf,425,0.2611971543139909,18.51851851851852,,,0.05288082083662193
28,skrf,170,0.24402636248027093,18.51851851851852,,,0.05367008681925811
29,skrf,6286,0.8820351626721273,18.51851851851852,,,0.05682715074980271
30,skrf,1384,0.29190308743094623,18.51851851851852,,,0.059194948697711136
31,sporf,5707,,18.51851851851852,3.1565186861747225,8.0,0.056037884767166535
32,sporf,221,,18.51851851851852,2.122167567969417,4.0,0.05367008681925811
33,sporf,25,,55.55555555555555,2.1938390097341745,2.5,0.05130228887134969
34,sporf,25,,55.55555555555555,2.1938390097341745,2.5,0.05524861878453036
35,skrf,1320,0.3019201376582931,166.66666666666666,,,0.05051302288871351
36,skrf,1320,0.3019201376582931,166.66666666666666,,,0.05130228887134969
37,skrf,1320,0.3019201376582931,166.66666666666666,,,0.05288082083662193
38,skrf,214,0.32267304403093094,55.55555555555555,,,0.052091554853985755
39,skrf,214,0.32267304403093094,55.55555555555555,,,0.052091554853985755
40,skrf,17,0.23997464897934856,166.66666666666666,,,0.052091554853985755
41,skrf,17,0.23997464897934856,166.66666666666666,,,0.04972375690607733
42,sporf,172,,55.55555555555555,0.29455477692145143,1.5,0.052091554853985755
43,skrf,7364,0.359611355651415,55.55555555555555,,,0.05524861878453036
44,sporf,330,,166.66666666666666,0.22998295053049392,1.5,0.04972375690607733
45,sporf,330,,166.66666666666666,0.22998295053049392,1.5,0.05051302288871351
46,skrf,735,0.24502144695964867,55.55555555555555,,,0.05288082083662193
47,skrf,124,0.29460034863500306,55.55555555555555,,,0.052091554853985755
48,sporf,7,,55.55555555555555,0.20399775889389776,2.5,0.052091554853985755
49,skrf,2216,0.1874303821710243,500.0,,,0.05130228887134969
50,skrf,2216,0.1874303821710243,500.0,,,0.048934490923441154
51,skrf,2216,0.1874303821710243,500.0,,,0.05051302288871351
52,skrf,186,0.29852916278420666,55.55555555555555,,,0.05288082083662193
53,sporf,52,,500.0,2.778593270515458,4.0,0.05130228887134969
54,sporf,52,,500.0,2.778593270515458,4.0,0.05130228887134969
55,skrf,1595,0.2341297717992678,166.66666666666666,,,0.052091554853985755
56,skrf,664,0.7177015830793093,166.66666666666666,,,0.05445935280189429
57,skrf,257,0.22846297228167767,500.0,,,0.05051302288871351
58,skrf,257,0.22846297228167767,500.0,,,0.05051302288871351
59,sporf,23,,166.66666666666666,2.4818759151131085,8.0,0.05445935280189429
60,skrf,538,0.2820805463633146,166.66666666666666,,,0.05288082083662193
61,skrf,789,0.1846654917641187,500.0,,,0.05288082083662193
62,skrf,1423,0.2177267864171319,500.0,,,0.05051302288871351
63,sporf,7,,500.0,3.2870659585818296,1.0,0.04972375690607733
64,sporf,6,,500.0,3.895070102583354,3.0,0.05051302288871351
65,skrf,340,0.2280662434164061,18.51851851851852,,,0.052091554853985755
66,sporf,562,,18.51851851851852,0.2687026545912095,1.5,0.05288082083662193
67,skrf,3737,0.22712007283379151,55.55555555555555,,,0.04972375690607733
68,skrf,3737,0.22712007283379151,55.55555555555555,,,0.05051302288871351
69,skrf,208,0.21655565817575084,18.51851851851852,,,0.05288082083662193
70,sporf,218,,166.66666666666666,0.19084745917121917,1.5,0.04972375690607733
71,sporf,218,,166.66666666666666,0.19084745917121917,1.5,0.048934490923441154
72,sporf,218,,166.66666666666666,0.19084745917121917,1.5,0.05051302288871351
73,sporf,16,,18.51851851851852,1.7690791665001422,2.5,0.05367008681925811
74,skrf,5,0.5461543238657437,18.51851851851852,,,0.05288082083662193
75,skrf,915,0.20149286671298042,18.51851851851852,,,0.05367008681925811
76,skrf,1863,0.18075293514540075,18.51851851851852,,,0.05445935280189429
77,sporf,231,,55.55555555555555,2.964298540017821,1.5,0.05051302288871351
78,sporf,231,,55.55555555555555,2.964298540017821,1.5,0.05445935280189429
79,skrf,473,0.20759279858039612,18.51851851851852,,,0.052091554853985755
80,skrf,41,0.1045156299760443,18.51851851851852,,,0.05445935280189429
81,skrf,832,0.21811092616391967,18.51851851851852,,,0.05367008681925811
82,skrf,807,0.19910614939595897,55.55555555555555,,,0.05051302288871351
83,skrf,807,0.19910614939595897,55.55555555555555,,,0.05367008681925811
84,skrf,253,0.19801197188028463,18.51851851851852,,,0.05445935280189429
85,skrf,645,0.2221062588156199,500.0,,,0.048934490923441154
86,skrf,645,0.2221062588156199,500.0,,,0.04972375690607733
87,skrf,645,0.2221062588156199,500.0,,,0.04972375690607733
88,skrf,645,0.2221062588156199,500.0,,,0.052091554853985755
89,skrf,1109,0.20258546456002,55.55555555555555,,,0.05051302288871351
90,skrf,1109,0.20258546456002,55.55555555555555,,,0.05051302288871351
91,skrf,2614,0.1876721029015572,18.51851851851852,,,0.052091554853985755
92,skrf,401,0.21280558105411862,18.51851851851852,,,0.05130228887134969
93,skrf,88,0.23398467585242008,18.51851851851852,,,0.05130228887134969
94,skrf,173,0.19861799511017092,18.51851851851852,,,0.05288082083662193
95,skrf,123,0.21040356619002776,55.55555555555555,,,0.05130228887134969
96,skrf,123,0.21040356619002776,55.55555555555555,,,0.052091554853985755
97,skrf,1797,0.18488759816479863,18.51851851851852,,,0.05288082083662193
98,sporf,343,,166.66666666666666,0.49529757469284486,1.5,0.04972375690607733
99,sporf,343,,166.66666666666666,0.49529757469284486,1.5,0.04972375690607733
100,sporf,343,,166.66666666666666,0.49529757469284486,1.5,0.052091554853985755
101,sporf,55,,18.51851851851852,2.1164871414959463,1.5,0.05524861878453036
102,skrf,2426,0.21243737032899215,55.55555555555555,,,0.04814522494080509
103,skrf,2426,0.21243737032899215,55.55555555555555,,,0.052091554853985755
104,skrf,380,0.2193135275104586,18.51851851851852,,,0.052091554853985755
105,skrf,1135,0.24437419422613574,166.66666666666666,,,0.048934490923441154
106,skrf,1135,0.24437419422613574,166.66666666666666,,,0.052091554853985755
107,sporf,67,,55.55555555555555,0.1566643005847216,1.5,0.052091554853985755
108,skrf,42,0.23007990828869465,55.55555555555555,,,0.05367008681925811
109,skrf,72,0.23010322457572446,500.0,,,0.04972375690607733
110,skrf,72,0.23010322457572446,500.0,,,0.04972375690607733
111,skrf,72,0.23010322457572446,500.0,,,0.05130228887134969
112,sporf,87,,166.66666666666666,0.2133210820363616,1.5,0.05051302288871351
113,sporf,87,,166.66666666666666,0.2133210820363616,1.5,0.05130228887134969
114,skrf,141,0.22980663789678984,55.55555555555555,,,0.05288082083662193
115,skrf,550,0.23066987000670783,55.55555555555555,,,0.05288082083662193
116,sporf,536,,55.55555555555555,0.34803498280690476,1.5,0.05051302288871351
117,sporf,87,,55.55555555555555,0.09279249771951036,1.5,0.052091554853985755
118,skrf,390,0.2137414706753665,500.0,,,0.04972375690607733
119,skrf,390,0.2137414706753665,500.0,,,0.05130228887134969
120,skrf,521,0.22932800859037025,166.66666666666666,,,0.05130228887134969
121,sporf,3,,166.66666666666666,0.10571086979474652,1.0,0.056037884767166535
122,skrf,92,0.21280461519296984,500.0,,,0.048934490923441154
123,skrf,92,0.21280461519296984,500.0,,,0.05288082083662193
124,skrf,936,0.1956737037202026,166.66666666666666,,,0.05130228887134969
125,skrf,214,0.22626893861003702,166.66666666666666,,,0.05288082083662193
126,sporf,3327,,500.0,2.717677823328777,2.0,0.05288082083662193
127,skrf,217,0.22628458767960183,500.0,,,0.05130228887134969
128,skrf,2424,0.22395263389699135,500.0,,,0.05051302288871351
129,sporf,240,,500.0,3.8519592236847653,8.0,0.05367008681925811
130,skrf,380,0.07488239005453143,18.51851851851852,,,0.05288082083662193
131,sporf,16,,18.51851851851852,3.306252986501924,4.0,0.06077348066298338
132,sporf,52,,18.51851851851852,2.83643983716299,4.0,0.05840568271507496
133,sporf,110,,18.51851851851852,0.14463247552767938,4.0,0.056037884767166535
134,sporf,16,,166.66666666666666,1.2503933205019777,4.0,0.048934490923441154
135,sporf,16,,166.66666666666666,1.2503933205019777,4.0,0.048934490923441154
136,sporf,16,,166.66666666666666,1.2503933205019777,4.0,0.052091554853985755
137,skrf,2,0.21333306142757366,18.51851851851852,,,0.056037884767166535
138,sporf,82,,55.55555555555555,0.9494680186694138,4.0,0.048934490923441154
139,sporf,82,,55.55555555555555,0.9494680186694138,4.0,0.056037884767166535
140,skrf,2337,0.7374702382065927,55.55555555555555,,,0.052091554853985755
141,skrf,2337,0.7374702382065927,55.55555555555555,,,0.05288082083662193
142,skrf,7019,0.17246969091741973,18.51851851851852,,,0.05367008681925811
143,skrf,132,0.1738556311699837,18.51851851851852,,,0.056037884767166535
144,skrf,1337,0.01758958700441956,18.51851851851852,,,0.05761641673243878
145,skrf,200,0.18178764947603884,166.66666666666666,,,0.05051302288871351
146,skrf,200,0.18178764947603884,166.66666666666666,,,0.05051302288871351
147,skrf,200,0.18178764947603884,166.66666666666666,,,0.05288082083662193
148,skrf,401,0.1901002919116765,500.0,,,0.04972375690607733
149,skrf,401,0.1901002919116765,500.0,,,0.04656669297553273
150,skrf,401,0.1901002919116765,500.0,,,0.04972375690607733
151,skrf,401,0.1901002919116765,500.0,,,0.052091554853985755
152,skrf,6212,0.20310073510962057,18.51851851851852,,,0.05445935280189429
153,skrf,392,0.19190173864455945,18.51851851851852,,,0.05288082083662193
154,sporf,733,,18.51851851851852,2.815206910943633,2.0,0.05682715074980271
155,sporf,6,,55.55555555555555,1.9123030866340043,2.5,0.04972375690607733
156,sporf,6,,55.55555555555555,1.9123030866340043,2.5,0.05051302288871351
157,skrf,13,0.32404813137609884,18.51851851851852,,,0.05445935280189429
158,skrf,682,0.22090523843475568,18.51851851851852,,,0.05445935280189429
159,sporf,95,,18.51851851851852,3.9712272674271474,8.0,0.05288082083662193
160,skrf,46,0.20947270030420556,55.55555555555555,,,0.05130228887134969
161,skrf,46,0.20947270030420556,55.55555555555555,,,0.05288082083662193
162,skrf,218,0.18245588189085746,18.51851851851852,,,0.05445935280189429
163,skrf,6,0.18918671989664898,55.55555555555555,,,0.04972375690607733
164,skrf,6,0.18918671989664898,55.55555555555555,,,0.052091554853985755
165,skrf,93,0.6600887814944855,18.51851851851852,,,0.056037884767166535
166,sporf,3403,,18.51851851851852,3.6543072387966533,8.0,0.05761641673243878
167,skrf,3,0.22906404206852252,18.51851851851852,,,0.05524861878453036
168,skrf,13,0.6405617267079083,55.55555555555555,,,0.05130228887134969
169,skrf,13,0.6405617267079083,55.55555555555555,,,0.05445935280189429
170,skrf,121,0.1996720488758467,500.0,,,0.04814522494080509
171,skrf,121,0.1996720488758467,500.0,,,0.048934490923441154
172,skrf,121,0.1996720488758467,500.0,,,0.052091554853985755
173,skrf,35,0.19468863606272963,166.66666666666666,,,0.05130228887134969
174,skrf,35,0.19468863606272963,166.66666666666666,,,0.05051302288871351
175,sporf,3355,,55.55555555555555,1.2106506716145669,2.0,0.05130228887134969
176,skrf,437,0.5815932225176732,55.55555555555555,,,0.052091554853985755
177,skrf,29,0.5800338982957615,55.55555555555555,,,0.05367008681925811
178,sporf,127,,55.55555555555555,2.33022751195783,4.0,0.05445935280189429
179,skrf,4,0.4826031121084485,55.55555555555555,,,0.052091554853985755
180,skrf,3773,0.20881845722742884,55.55555555555555,,,0.05445935280189429
181,skrf,10,0.6205614760486793,166.66666666666666,,,0.05051302288871351
