,clf,max_depth,max_features_sporf,sporf_fc,budget,max_features_sk,loss
0,sporf,304,0.28405088061159117,2.0,18.51851851851852,,0.01576246334310849
1,sporf,2096,3.833081541481366,1.0,55.55555555555555,,0.003665689149560114
2,sporf,2096,3.833081541481366,1.0,55.55555555555555,,0.004398826979472137
3,sporf,4,0.7316759605278543,4.0,18.51851851851852,,0.10117302052785926
4,sporf,302,2.163489196983864,3.0,18.51851851851852,,0.0076979472140762395
5,skrf,32,,,166.66666666666666,0.7936761040841223,0.0029325513196480912
6,skrf,32,,,166.66666666666666,0.7936761040841223,0.0021994134897360684
7,skrf,32,,,166.66666666666666,0.7936761040841223,0.0029325513196480912
8,skrf,999,,,18.51851851851852,0.7163880979634688,0.00513196480938416
9,skrf,2305,,,55.55555555555555,0.32311948911184446,0.004765395894428148
10,skrf,2305,,,55.55555555555555,0.32311948911184446,0.0058651026392961825
11,sporf,90,1.3728231524427057,4.0,18.51851851851852,,0.012096774193548376
12,skrf,8056,,,18.51851851851852,0.11779816154752902,0.013563049853372422
13,sporf,65,3.013740308777453,8.0,18.51851851851852,,0.03115835777126097
14,sporf,33,1.8728497242600521,1.5,18.51851851851852,,0.005498533724340171
15,sporf,1072,0.4973667154837725,1.5,18.51851851851852,,0.008064516129032251
16,sporf,30,1.5822392742340439,1.0,18.51851851851852,,0.00513196480938416
17,skrf,111,,,18.51851851851852,0.14071331197695827,0.009530791788856297
18,skrf,7,,,18.51851851851852,0.1306474855617247,0.01319648093841641
19,skrf,27,,,18.51851851851852,0.11363193754632335,0.015395894428152479
20,sporf,3,1.9213987817213514,8.0,18.51851851851852,,0.282991202346041
21,sporf,520,1.5485318776415664,1.0,18.51851851851852,,0.005498533724340171
22,skrf,560,,,166.66666666666666,0.753166530077923,0.003665689149560114
23,skrf,560,,,166.66666666666666,0.753166530077923,0.0021994134897360684
24,skrf,560,,,166.66666666666666,0.753166530077923,0.00256598240469208
25,skrf,809,,,55.55555555555555,0.7637258526070492,0.0032991202346041026
26,skrf,809,,,55.55555555555555,0.7637258526070492,0.003665689149560114
27,sporf,2,2.171274830412555,4.0,18.51851851851852,,0.23570381231671556
28,sporf,7,1.7357258709019057,2.5,18.51851851851852,,0.009897360703812308
29,skrf,1356,,,500.0,0.8099168104597931,0.0021994134897360684
30,skrf,1356,,,500.0,0.8099168104597931,0.001832844574780057
31,skrf,1356,,,500.0,0.8099168104597931,0.0021994134897360684
32,skrf,1356,,,500.0,0.8099168104597931,0.001832844574780057
33,sporf,7734,3.8344701882640435,1.0,55.55555555555555,,0.0029325513196480912
34,sporf,7734,3.8344701882640435,1.0,55.55555555555555,,0.004398826979472137
35,sporf,7,3.8295483854468197,1.0,18.51851851851852,,0.006231671554252194
36,sporf,19,3.094900231903226,1.0,55.55555555555555,,0.0021994134897360684
37,sporf,19,3.094900231903226,1.0,55.55555555555555,,0.0040322580645161255
38,skrf,4233,,,55.55555555555555,0.7726948705379354,0.00513196480938416
39,skrf,4233,,,55.55555555555555,0.7726948705379354,0.0029325513196480912
40,sporf,1522,3.6739981235100725,1.0,55.55555555555555,,0.004398826979472137
41,sporf,2825,0.2151412451582039,1.5,55.55555555555555,,0.01319648093841641
42,skrf,2,,,55.55555555555555,0.5411570171656197,0.12903225806451613
43,skrf,55,,,500.0,0.8044048418678507,0.0021994134897360684
44,skrf,55,,,500.0,0.8044048418678507,0.00256598240469208
45,skrf,55,,,500.0,0.8044048418678507,0.00256598240469208
46,skrf,175,,,55.55555555555555,0.8662873353130011,0.0032991202346041026
47,skrf,26,,,166.66666666666666,0.8094991513313132,0.0029325513196480912
48,skrf,26,,,166.66666666666666,0.8094991513313132,0.0029325513196480912
49,skrf,14,,,55.55555555555555,0.8051235519345511,0.0032991202346041026
50,skrf,15,,,166.66666666666666,0.7931594431848884,0.0029325513196480912
51,skrf,15,,,166.66666666666666,0.7931594431848884,0.00256598240469208
52,skrf,2,,,55.55555555555555,0.8049445880787715,0.18181818181818177
53,skrf,2,,,166.66666666666666,0.8076326287599876,0.18071847507331373
54,skrf,22,,,500.0,0.8004647264882088,0.001832844574780057
55,skrf,22,,,500.0,0.8004647264882088,0.00256598240469208
56,skrf,4,,,166.66666666666666,0.1159035258009839,0.05828445747800581
57,skrf,14,,,166.66666666666666,0.7817179197152421,0.0029325513196480912
58,skrf,19,,,166.66666666666666,0.7893621287855691,0.0029325513196480912
59,skrf,26,,,500.0,0.8018279726566834,0.00256598240469208
60,skrf,26,,,500.0,0.8018279726566834,0.0029325513196480912
61,skrf,68,,,500.0,0.7987678627068137,0.0021994134897360684
62,skrf,1241,,,500.0,0.7551340232069489,0.00256598240469208
63,skrf,2648,,,500.0,0.8330155116615476,0.00256598240469208
64,sporf,5,3.7093323064402663,4.0,500.0,,0.02859237536656889
65,skrf,46,,,55.55555555555555,0.8310985424967169,0.00256598240469208
66,skrf,46,,,55.55555555555555,0.8310985424967169,0.0032991202346041026
67,skrf,880,,,18.51851851851852,0.8082929011531355,0.005498533724340171
68,skrf,4,,,18.51851851851852,0.7874803845054812,0.08431085043988273
69,skrf,3553,,,55.55555555555555,0.81156733541778,0.0021994134897360684
70,skrf,3553,,,55.55555555555555,0.81156733541778,0.003665689149560114
71,skrf,1909,,,500.0,0.8042998450606379,0.00256598240469208
72,skrf,1909,,,500.0,0.8042998450606379,0.001832844574780057
73,skrf,1909,,,500.0,0.8042998450606379,0.0021994134897360684
74,skrf,1909,,,500.0,0.8042998450606379,0.0029325513196480912
75,skrf,42,,,166.66666666666666,0.7992228684135171,0.0029325513196480912
76,skrf,42,,,166.66666666666666,0.7992228684135171,0.00256598240469208
77,skrf,42,,,166.66666666666666,0.7992228684135171,0.00256598240469208
78,skrf,13,,,18.51851851851852,0.792830369926403,0.004398826979472137
79,skrf,80,,,55.55555555555555,0.8073057017155688,0.0032991202346041026
80,skrf,80,,,55.55555555555555,0.8073057017155688,0.0029325513196480912
81,skrf,309,,,55.55555555555555,0.7915295091496889,0.0021994134897360684
82,skrf,309,,,55.55555555555555,0.7915295091496889,0.0040322580645161255
83,sporf,10,1.8521683760381364,4.0,18.51851851851852,,0.013929618768328433
84,skrf,259,,,18.51851851851852,0.8116080945330066,0.0040322580645161255
85,skrf,164,,,18.51851851851852,0.13850242187063558,0.011730205278592365
86,skrf,1079,,,18.51851851851852,0.8166474373940098,0.004398826979472137
87,skrf,85,,,166.66666666666666,0.7988172472873326,0.00256598240469208
88,skrf,85,,,166.66666666666666,0.7988172472873326,0.0010997067448680342
89,skrf,85,,,166.66666666666666,0.7988172472873326,0.0029325513196480912
90,skrf,2044,,,18.51851851851852,0.4940901738533959,0.00513196480938416
91,skrf,1818,,,18.51851851851852,0.7980912682491546,0.004398826979472137
92,skrf,242,,,18.51851851851852,0.5991417776398933,0.0040322580645161255
93,skrf,12,,,18.51851851851852,0.13252609252457326,0.011730205278592365
94,skrf,3,,,18.51851851851852,0.79649470289542,0.09897360703812319
95,skrf,471,,,55.55555555555555,0.8061947057749443,0.0029325513196480912
96,skrf,471,,,55.55555555555555,0.8061947057749443,0.0032991202346041026
97,skrf,3,,,18.51851851851852,0.8022514917180428,0.09384164222873903
98,skrf,506,,,18.51851851851852,0.623738388441139,0.0032991202346041026
99,skrf,765,,,55.55555555555555,0.7591000926988207,0.00256598240469208
100,skrf,765,,,55.55555555555555,0.7591000926988207,0.00256598240469208
101,skrf,92,,,18.51851851851852,0.8142147913768678,0.005498533724340171
