,clf,max_depth,max_features_sk,budget,max_features_sporf,sporf_fc,loss
0,skrf,3,0.3553090158486235,18.51851851851852,,,0.11253196930946296
1,sporf,34,,18.51851851851852,1.5186972053763805,2.0,0.11508951406649615
2,sporf,342,,18.51851851851852,2.57802592960199,8.0,0.11125319693094626
3,sporf,14,,166.66666666666666,3.3211943731702647,2.0,0.10869565217391308
4,sporf,14,,166.66666666666666,3.3211943731702647,2.0,0.10869565217391308
5,sporf,14,,166.66666666666666,3.3211943731702647,2.0,0.11125319693094626
6,skrf,2240,0.6311717882080029,18.51851851851852,,,0.11125319693094626
7,sporf,95,,18.51851851851852,3.0533004480441694,3.0,0.11508951406649615
8,sporf,3,,18.51851851851852,3.589788685409899,1.0,0.10869565217391308
9,sporf,55,,18.51851851851852,0.5293220975937032,1.5,0.11381074168797956
10,skrf,598,0.2529958813723834,18.51851851851852,,,0.11508951406649615
11,skrf,366,0.6926929791663544,18.51851851851852,,,0.10997442455242967
12,sporf,167,,55.55555555555555,3.0917091923885254,2.5,0.10230179028132991
13,sporf,167,,55.55555555555555,3.0917091923885254,2.5,0.10997442455242967
14,skrf,791,0.21630441201549555,18.51851851851852,,,0.10869565217391308
15,skrf,6,0.529136138288632,18.51851851851852,,,0.11381074168797956
16,sporf,120,,18.51851851851852,3.3812455454102643,3.0,0.11381074168797956
17,skrf,547,0.09717052763942075,55.55555555555555,,,0.10613810741687979
18,skrf,547,0.09717052763942075,55.55555555555555,,,0.10869565217391308
19,sporf,11,,18.51851851851852,3.7002199217594556,1.5,0.11125319693094626
20,sporf,1031,,18.51851851851852,3.681323522147819,2.5,0.11381074168797956
21,skrf,61,0.5368244275558807,55.55555555555555,,,0.10741687979539638
22,skrf,61,0.5368244275558807,55.55555555555555,,,0.10997442455242967
23,sporf,13,,55.55555555555555,3.5639812714468584,1.5,0.10741687979539638
24,sporf,13,,55.55555555555555,3.5639812714468584,1.5,0.11125319693094626
25,sporf,89,,18.51851851851852,3.4322421285732387,3.0,0.11253196930946296
26,sporf,3,,500.0,3.6662610095427763,3.0,0.10613810741687979
27,sporf,3,,500.0,3.6662610095427763,3.0,0.10613810741687979
28,sporf,3,,500.0,3.6662610095427763,3.0,0.1048593350383632
29,sporf,3,,500.0,3.6662610095427763,3.0,0.1048593350383632
30,sporf,13,,166.66666666666666,3.4080444460073256,3.0,0.1035805626598465
31,sporf,13,,166.66666666666666,3.4080444460073256,3.0,0.10741687979539638
32,sporf,13,,166.66666666666666,3.4080444460073256,3.0,0.10869565217391308
33,skrf,694,0.11860499343984854,18.51851851851852,,,0.11125319693094626
34,sporf,24,,55.55555555555555,3.0990210816906245,3.0,0.10869565217391308
35,sporf,24,,55.55555555555555,3.0990210816906245,3.0,0.10869565217391308
36,skrf,115,0.7050264655838111,18.51851851851852,,,0.10997442455242967
37,sporf,10,,55.55555555555555,3.1946710346262406,1.0,0.10869565217391308
38,sporf,10,,55.55555555555555,3.1946710346262406,1.0,0.10869565217391308
39,skrf,723,0.7153780802605283,18.51851851851852,,,0.11253196930946296
40,sporf,8,,500.0,3.7130244419760565,1.0,0.10741687979539638
41,sporf,8,,500.0,3.7130244419760565,1.0,0.10741687979539638
42,sporf,8,,500.0,3.7130244419760565,1.0,0.1035805626598465
43,skrf,14,0.5229538050959077,55.55555555555555,,,0.11125319693094626
44,skrf,394,0.20572268469444085,55.55555555555555,,,0.11381074168797956
45,sporf,2,,166.66666666666666,3.596333025334871,1.5,0.10869565217391308
46,sporf,2,,166.66666666666666,3.596333025334871,1.5,0.10869565217391308
47,skrf,4111,0.8907243553983051,55.55555555555555,,,0.11125319693094626
48,sporf,2,,55.55555555555555,1.6187864208326408,4.0,0.10997442455242967
49,skrf,757,0.23564663824396415,55.55555555555555,,,0.10997442455242967
50,sporf,19,,166.66666666666666,1.4492574914969159,3.0,0.10613810741687979
51,sporf,19,,166.66666666666666,1.4492574914969159,3.0,0.10869565217391308
52,skrf,1158,0.7138208787677037,55.55555555555555,,,0.11253196930946296
53,sporf,7,,500.0,3.9387949195347915,1.5,0.1048593350383632
54,sporf,7,,500.0,3.9387949195347915,1.5,0.10230179028132991
55,sporf,3,,166.66666666666666,2.8776987977933106,1.0,0.10613810741687979
56,skrf,7,0.7318032052645764,166.66666666666666,,,0.10613810741687979
57,sporf,12,,500.0,3.134345199732962,3.0,0.1048593350383632
58,sporf,12,,500.0,3.134345199732962,3.0,0.10613810741687979
59,sporf,11,,166.66666666666666,3.4719267131816953,1.5,0.10741687979539638
60,sporf,20,,166.66666666666666,1.6798464463175222,4.0,0.10997442455242967
61,sporf,164,,500.0,1.017706504693994,1.5,0.10869565217391308
62,skrf,2,0.7367640428034283,500.0,,,0.10741687979539638
63,skrf,16,0.7317153154056846,500.0,,,0.10741687979539638
64,skrf,3,0.7336160728970547,500.0,,,0.10613810741687979
65,skrf,8,0.7333178128595782,18.51851851851852,,,0.11381074168797956
66,sporf,20,,18.51851851851852,0.9700756500215658,3.0,0.11636828644501274
67,skrf,2888,0.48306736785978754,166.66666666666666,,,0.10869565217391308
68,skrf,2888,0.48306736785978754,166.66666666666666,,,0.10741687979539638
69,skrf,2888,0.48306736785978754,166.66666666666666,,,0.10997442455242967
70,skrf,12,0.7340006469104371,18.51851851851852,,,0.12148337595907932
71,sporf,3,,166.66666666666666,2.9631869481803186,8.0,0.1035805626598465
72,sporf,3,,166.66666666666666,2.9631869481803186,8.0,0.10741687979539638
73,sporf,3,,166.66666666666666,2.9631869481803186,8.0,0.10997442455242967
74,skrf,5,0.7262108175758791,18.51851851851852,,,0.11381074168797956
75,skrf,4070,0.08740904442310889,18.51851851851852,,,0.11381074168797956
76,skrf,4,0.7294230301463459,18.51851851851852,,,0.11125319693094626
77,skrf,2,0.7355937078681836,55.55555555555555,,,0.10613810741687979
78,skrf,2,0.7355937078681836,55.55555555555555,,,0.11125319693094626
79,skrf,2,0.7330649607810494,18.51851851851852,,,0.11381074168797956
80,skrf,9,0.7295162429562634,18.51851851851852,,,0.11508951406649615
81,skrf,9,0.7316606790811457,18.51851851851852,,,0.11892583120204603
82,skrf,11,0.7311552775468402,18.51851851851852,,,0.11764705882352944
83,skrf,178,0.729413868233618,18.51851851851852,,,0.11125319693094626
84,skrf,12,0.7296959638021143,18.51851851851852,,,0.11636828644501274
85,skrf,14,0.7329069704706882,55.55555555555555,,,0.10741687979539638
86,skrf,14,0.7329069704706882,55.55555555555555,,,0.10997442455242967
87,sporf,763,,18.51851851851852,1.3501272257197041,8.0,0.11125319693094626
88,skrf,5,0.7343490251259985,18.51851851851852,,,0.12148337595907932
89,skrf,5686,0.3376002521351028,500.0,,,0.10230179028132991
90,skrf,5686,0.3376002521351028,500.0,,,0.10613810741687979
91,skrf,5686,0.3376002521351028,500.0,,,0.10741687979539638
92,skrf,5686,0.3376002521351028,500.0,,,0.1048593350383632
93,sporf,2,,55.55555555555555,3.261801214469001,1.0,0.10869565217391308
94,sporf,2,,55.55555555555555,3.261801214469001,1.0,0.11253196930946296
95,skrf,55,0.7405692259851602,18.51851851851852,,,0.10997442455242967
96,skrf,3,0.7342861607531608,55.55555555555555,,,0.10869565217391308
97,skrf,3,0.7342861607531608,55.55555555555555,,,0.10869565217391308
98,sporf,11,,18.51851851851852,3.153722820428903,1.5,0.11253196930946296
99,skrf,35,0.7339769038492767,18.51851851851852,,,0.11125319693094626
100,skrf,2,0.7333947725536858,55.55555555555555,,,0.10869565217391308
101,skrf,2,0.7333947725536858,55.55555555555555,,,0.10997442455242967
102,sporf,3562,,55.55555555555555,0.5709522827043976,4.0,0.10741687979539638
103,sporf,3562,,55.55555555555555,0.5709522827043976,4.0,0.11764705882352944
104,skrf,2,0.733780560450392,18.51851851851852,,,0.10997442455242967
105,sporf,2,,166.66666666666666,3.718950115096326,1.5,0.10741687979539638
106,sporf,2,,166.66666666666666,3.718950115096326,1.5,0.11125319693094626
107,sporf,2,,55.55555555555555,0.735545883757151,2.0,0.10869565217391308
108,sporf,2,,55.55555555555555,3.856062680031085,1.5,0.10869565217391308
109,sporf,6357,,500.0,1.8067206885910743,8.0,0.10613810741687979
110,sporf,6357,,500.0,1.8067206885910743,8.0,0.1035805626598465
111,sporf,6357,,500.0,1.8067206885910743,8.0,0.1048593350383632
112,skrf,2,0.7297806909980068,166.66666666666666,,,0.10613810741687979
113,skrf,2,0.7297806909980068,166.66666666666666,,,0.10869565217391308
114,sporf,3,,55.55555555555555,1.1258400005102107,4.0,0.10741687979539638
115,sporf,601,,55.55555555555555,3.29524977415409,4.0,0.11253196930946296
116,skrf,22,0.7321713419658741,55.55555555555555,,,0.10741687979539638
117,skrf,159,0.6448031340251673,55.55555555555555,,,0.10997442455242967
118,sporf,4597,,166.66666666666666,1.1422084856140946,4.0,0.10869565217391308
119,skrf,4,0.732070850377505,500.0,,,0.10741687979539638
120,skrf,4,0.732070850377505,500.0,,,0.10741687979539638
121,sporf,2,,166.66666666666666,3.4810799191625916,1.5,0.10869565217391308
122,sporf,3,,500.0,3.871880274441742,1.5,0.1048593350383632
123,sporf,3,,500.0,3.871880274441742,1.5,0.1048593350383632
124,skrf,92,0.6080296222841305,166.66666666666666,,,0.10869565217391308
125,skrf,7,0.31827288157728517,166.66666666666666,,,0.10869565217391308
126,skrf,2753,0.33763551516553447,500.0,,,0.10869565217391308
127,skrf,2045,0.3017945907079126,500.0,,,0.10869565217391308
128,skrf,109,0.3906787495473418,500.0,,,0.10869565217391308
129,sporf,68,,500.0,1.531559370920327,1.0,0.10997442455242967
130,sporf,2,,18.51851851851852,3.9165824602945425,3.0,0.11253196930946296
131,sporf,3,,55.55555555555555,3.9800278217092586,3.0,0.10997442455242967
132,sporf,3,,55.55555555555555,3.9800278217092586,3.0,0.10741687979539638
133,sporf,3,,18.51851851851852,3.316070912148914,3.0,0.11381074168797956
134,sporf,6,,55.55555555555555,3.7044621770775046,3.0,0.1048593350383632
135,sporf,6,,55.55555555555555,3.7044621770775046,3.0,0.10741687979539638
136,sporf,3,,18.51851851851852,3.3685730452324627,3.0,0.11125319693094626
137,sporf,10,,18.51851851851852,3.8540105281757158,3.0,0.11381074168797956
138,skrf,1311,0.3370973071303001,18.51851851851852,,,0.11125319693094626
139,sporf,10,,55.55555555555555,3.0461838766393825,8.0,0.1035805626598465
140,sporf,10,,55.55555555555555,3.0461838766393825,8.0,0.11764705882352944
141,sporf,4,,500.0,3.9747443709307624,3.0,0.10230179028132991
142,sporf,4,,500.0,3.9747443709307624,3.0,0.10613810741687979
143,sporf,4,,500.0,3.9747443709307624,3.0,0.1048593350383632
144,sporf,4,,500.0,3.9747443709307624,3.0,0.10230179028132991
145,sporf,10,,18.51851851851852,3.4930183786087845,3.0,0.11253196930946296
146,sporf,2,,18.51851851851852,2.55775599965793,1.0,0.11125319693094626
147,sporf,15,,18.51851851851852,2.3004630473284875,1.0,0.11764705882352944
148,sporf,39,,18.51851851851852,3.4705683204301057,3.0,0.11253196930946296
149,skrf,6,0.8521048343716815,18.51851851851852,,,0.11253196930946296
150,sporf,2154,,18.51851851851852,0.8064887935114826,1.5,0.11508951406649615
151,sporf,89,,18.51851851851852,3.585055410165341,3.0,0.11125319693094626
152,skrf,13,0.2591391034626895,166.66666666666666,,,0.10869565217391308
153,skrf,13,0.2591391034626895,166.66666666666666,,,0.10613810741687979
154,skrf,13,0.2591391034626895,166.66666666666666,,,0.10869565217391308
155,sporf,152,,55.55555555555555,3.644144257566817,3.0,0.10741687979539638
156,sporf,152,,55.55555555555555,3.644144257566817,3.0,0.10869565217391308
157,sporf,213,,18.51851851851852,1.9985554895293416,1.0,0.11381074168797956
158,sporf,4080,,18.51851851851852,1.272540714221473,3.0,0.11508951406649615
159,sporf,400,,18.51851851851852,2.955291968108067,3.0,0.10997442455242967
160,sporf,3,,166.66666666666666,3.929141827250371,3.0,0.10741687979539638
161,sporf,3,,166.66666666666666,3.929141827250371,3.0,0.1035805626598465
162,sporf,3,,166.66666666666666,3.929141827250371,3.0,0.10741687979539638
163,skrf,751,0.2648044742202786,18.51851851851852,,,0.11636828644501274
164,sporf,903,,18.51851851851852,0.6576720473080611,1.5,0.11125319693094626
165,sporf,1473,,55.55555555555555,3.2951671573900643,3.0,0.10869565217391308
166,sporf,1473,,55.55555555555555,3.2951671573900643,3.0,0.11253196930946296
167,skrf,291,0.8258588199815288,18.51851851851852,,,0.11253196930946296
168,skrf,511,0.7423381537810576,55.55555555555555,,,0.10869565217391308
169,skrf,511,0.7423381537810576,55.55555555555555,,,0.11636828644501274
170,sporf,38,,166.66666666666666,3.5310928109297604,3.0,0.10613810741687979
171,sporf,38,,166.66666666666666,3.5310928109297604,3.0,0.11125319693094626
172,skrf,31,0.19546588093214057,55.55555555555555,,,0.11636828644501274
173,sporf,707,,55.55555555555555,1.3866338723705103,1.0,0.11125319693094626
174,sporf,3187,,55.55555555555555,1.0302456956088084,8.0,0.11125319693094626
175,sporf,5623,,55.55555555555555,3.364532989392146,4.0,0.11508951406649615
176,sporf,5262,,166.66666666666666,1.4255892492312758,1.0,0.10741687979539638
177,sporf,5262,,166.66666666666666,1.4255892492312758,1.0,0.10997442455242967
178,sporf,2,,500.0,3.8451453560134086,3.0,0.10613810741687979
179,sporf,2,,500.0,3.8451453560134086,3.0,0.10741687979539638
180,sporf,2,,500.0,3.8451453560134086,3.0,0.10741687979539638
181,skrf,5603,0.8310690880707081,55.55555555555555,,,0.11253196930946296
182,skrf,545,0.09482371832468077,55.55555555555555,,,0.10997442455242967
