,clf,max_depth,max_features_sporf,sporf_fc,budget,max_features_sk,loss
0,sporf,17,3.8495859653002893,1.0,500.0,,0.07037037037037042
1,sporf,17,3.8495859653002893,1.0,500.0,,0.07407407407407407
2,sporf,17,3.8495859653002893,1.0,500.0,,0.07777777777777772
3,sporf,17,3.8495859653002893,1.0,500.0,,0.07777777777777772
4,sporf,5,0.19696290934910837,4.0,166.66666666666666,,0.07777777777777772
5,sporf,5,0.19696290934910837,4.0,166.66666666666666,,0.07777777777777772
6,sporf,5,0.19696290934910837,4.0,166.66666666666666,,0.07777777777777772
7,sporf,17,1.7900241780813668,3.0,55.55555555555555,,0.07777777777777772
8,sporf,17,1.7900241780813668,3.0,55.55555555555555,,0.07777777777777772
9,sporf,11,2.972094703004076,4.0,55.55555555555555,,0.07407407407407407
10,sporf,11,2.972094703004076,4.0,55.55555555555555,,0.07777777777777772
11,skrf,39,,,18.51851851851852,0.3059889715600387,0.0888888888888889
12,sporf,81,0.6829781561381365,8.0,18.51851851851852,,0.08518518518518514
13,sporf,75,0.11718818838075833,1.5,18.51851851851852,,0.08148148148148149
14,sporf,2172,3.9041272382559473,8.0,55.55555555555555,,0.07037037037037042
15,sporf,2172,3.9041272382559473,8.0,55.55555555555555,,0.07777777777777772
16,skrf,8,,,18.51851851851852,0.8329010323091344,0.09629629629629632
17,sporf,1287,0.2456994716266319,2.5,18.51851851851852,,0.07777777777777772
18,sporf,17,2.742742121238753,3.0,18.51851851851852,,0.0888888888888889
19,sporf,7,3.5669706258199585,4.0,18.51851851851852,,0.08518518518518514
20,sporf,3,1.1900611003217423,1.5,18.51851851851852,,0.07777777777777772
21,sporf,438,3.7349015207333642,3.0,18.51851851851852,,0.08148148148148149
22,sporf,480,0.7446934144754936,8.0,18.51851851851852,,0.08148148148148149
23,sporf,111,2.0125478216770385,3.0,55.55555555555555,,0.07777777777777772
24,sporf,111,2.0125478216770385,3.0,55.55555555555555,,0.07777777777777772
25,sporf,20,3.1263947736435447,3.0,55.55555555555555,,0.07777777777777772
26,sporf,20,3.1263947736435447,3.0,55.55555555555555,,0.07777777777777772
27,skrf,10,,,18.51851851851852,0.36157971898841446,0.0888888888888889
28,skrf,2412,,,166.66666666666666,0.2423272858095083,0.07777777777777772
29,skrf,2412,,,166.66666666666666,0.2423272858095083,0.07407407407407407
30,skrf,2412,,,166.66666666666666,0.2423272858095083,0.07777777777777772
31,sporf,2,1.6819033917107822,3.0,55.55555555555555,,0.07037037037037042
32,sporf,2,1.6819033917107822,3.0,55.55555555555555,,0.07777777777777772
33,sporf,762,3.0931021741442084,3.0,18.51851851851852,,0.0888888888888889
34,skrf,2066,,,18.51851851851852,0.5384936700211053,0.08518518518518514
35,sporf,7,2.6243664870939893,3.0,18.51851851851852,,0.08518518518518514
36,sporf,14,3.0840735323353026,3.0,18.51851851851852,,0.08518518518518514
37,sporf,8,2.5209780125547465,3.0,18.51851851851852,,0.09629629629629632
38,sporf,165,1.0598877743417134,8.0,18.51851851851852,,0.07777777777777772
39,sporf,579,3.160581806622775,3.0,18.51851851851852,,0.08148148148148149
40,sporf,24,3.3762267097999956,3.0,55.55555555555555,,0.08518518518518514
41,sporf,5,3.767015410135132,3.0,500.0,,0.07777777777777772
42,sporf,5,3.767015410135132,3.0,500.0,,0.07777777777777772
43,sporf,5,3.767015410135132,3.0,500.0,,0.07777777777777772
44,sporf,434,3.175232574092398,3.0,55.55555555555555,,0.07777777777777772
45,sporf,4769,1.2996295326587624,2.5,55.55555555555555,,0.07777777777777772
46,skrf,658,,,55.55555555555555,0.24229346831924706,0.07777777777777772
47,sporf,76,2.9914402155595274,2.0,166.66666666666666,,0.07037037037037042
48,sporf,76,2.9914402155595274,2.0,166.66666666666666,,0.07777777777777772
49,sporf,7,0.16214640471534572,8.0,55.55555555555555,,0.08518518518518514
50,sporf,7619,0.207794528960597,2.0,166.66666666666666,,0.07407407407407407
51,sporf,7619,0.207794528960597,2.0,166.66666666666666,,0.07777777777777772
52,skrf,566,,,55.55555555555555,0.24272072582169732,0.07777777777777772
53,skrf,3211,,,500.0,0.23883031225735252,0.07777777777777772
54,skrf,3211,,,500.0,0.23883031225735252,0.07777777777777772
55,sporf,8,0.2578598757543886,3.0,166.66666666666666,,0.07777777777777772
56,sporf,4707,1.5514764512948283,1.0,500.0,,0.07407407407407407
57,sporf,4707,1.5514764512948283,1.0,500.0,,0.07407407407407407
58,sporf,3393,0.39808464482256506,1.0,166.66666666666666,,0.07777777777777772
59,sporf,6385,0.6028131883258977,2.5,166.66666666666666,,0.07777777777777772
60,sporf,45,1.617293371562196,4.0,166.66666666666666,,0.08148148148148149
61,sporf,3,3.260234323073123,4.0,500.0,,0.07777777777777772
62,sporf,26,1.06215047910031,2.0,500.0,,0.07777777777777772
63,sporf,9,3.291728354000714,4.0,500.0,,0.07777777777777772
64,sporf,79,2.2471773265087176,2.5,500.0,,0.07777777777777772
65,skrf,94,,,18.51851851851852,0.24311535047909388,0.08148148148148149
66,sporf,47,1.4531222132518187,4.0,500.0,,0.07407407407407407
67,sporf,47,1.4531222132518187,4.0,500.0,,0.07407407407407407
68,sporf,47,1.4531222132518187,4.0,500.0,,0.07777777777777772
69,sporf,47,1.4531222132518187,4.0,500.0,,0.08148148148148149
70,sporf,12,0.7713802348546226,3.0,18.51851851851852,,0.08148148148148149
71,skrf,2,,,166.66666666666666,0.3420264993648688,0.07777777777777772
72,skrf,2,,,166.66666666666666,0.3420264993648688,0.07777777777777772
73,skrf,2,,,166.66666666666666,0.3420264993648688,0.07777777777777772
74,sporf,155,0.818687969470541,2.0,18.51851851851852,,0.08518518518518514
75,sporf,116,3.4354286794141933,4.0,18.51851851851852,,0.0888888888888889
76,sporf,6,3.824174360694755,4.0,166.66666666666666,,0.07777777777777772
77,sporf,6,3.824174360694755,4.0,166.66666666666666,,0.07777777777777772
78,sporf,6,3.824174360694755,4.0,166.66666666666666,,0.07777777777777772
79,sporf,10,2.405735985282132,4.0,18.51851851851852,,0.08518518518518514
80,sporf,60,3.925028162228838,4.0,18.51851851851852,,0.0888888888888889
81,sporf,7,0.9208379185926285,3.0,18.51851851851852,,0.09629629629629632
82,sporf,11,3.9353400386138255,4.0,55.55555555555555,,0.07407407407407407
83,sporf,11,3.9353400386138255,4.0,55.55555555555555,,0.08148148148148149
84,skrf,2,,,18.51851851851852,0.8150944302659696,0.07777777777777772
85,sporf,5,3.223526913863012,4.0,18.51851851851852,,0.07777777777777772
86,sporf,3600,3.329803381611219,3.0,55.55555555555555,,0.07777777777777772
87,sporf,3600,3.329803381611219,3.0,55.55555555555555,,0.07777777777777772
88,sporf,180,2.572919144621925,4.0,18.51851851851852,,0.08518518518518514
89,sporf,3147,0.03971109643576046,2.0,18.51851851851852,,0.9222222222222223
90,sporf,80,0.5406136193604111,1.5,18.51851851851852,,0.0888888888888889
91,sporf,45,0.5117111241057537,3.0,18.51851851851852,,0.07777777777777772
92,skrf,8,,,18.51851851851852,0.39102710198031304,0.11111111111111116
93,sporf,357,3.1877606372874454,4.0,55.55555555555555,,0.07407407407407407
94,sporf,357,3.1877606372874454,4.0,55.55555555555555,,0.07777777777777772
95,sporf,3,1.94243825073123,3.0,18.51851851851852,,0.07777777777777772
96,sporf,17,3.167360434202447,4.0,18.51851851851852,,0.08518518518518514
97,sporf,2,2.7187890937575556,4.0,55.55555555555555,,0.07777777777777772
98,sporf,2,2.7187890937575556,4.0,55.55555555555555,,0.07777777777777772
99,skrf,5141,,,55.55555555555555,0.5009167764342863,0.07777777777777772
100,skrf,5141,,,55.55555555555555,0.5009167764342863,0.08148148148148149
101,sporf,3,2.435547764424496,1.0,55.55555555555555,,0.07407407407407407
102,sporf,3,2.435547764424496,1.0,55.55555555555555,,0.07777777777777772
103,skrf,336,,,18.51851851851852,0.028546494158264747,0.07777777777777772
104,sporf,29,2.825964681488532,4.0,18.51851851851852,,0.09259259259259256
105,sporf,21,3.9939294007288995,4.0,500.0,,0.07777777777777772
106,sporf,21,3.9939294007288995,4.0,500.0,,0.07777777777777772
107,sporf,21,3.9939294007288995,4.0,500.0,,0.08148148148148149
108,sporf,10,3.675937633600374,4.0,55.55555555555555,,0.07777777777777772
109,skrf,11,,,55.55555555555555,0.19744943232344211,0.07777777777777772
110,skrf,22,,,55.55555555555555,0.02029975084219149,0.07777777777777772
111,skrf,1097,,,166.66666666666666,0.24203973571612294,0.07407407407407407
112,skrf,1097,,,166.66666666666666,0.24203973571612294,0.07777777777777772
113,sporf,260,1.5163244892294037,4.0,55.55555555555555,,0.08148148148148149
114,sporf,99,3.861841718644272,4.0,55.55555555555555,,0.07777777777777772
115,sporf,1749,2.1109541864146966,4.0,166.66666666666666,,0.07407407407407407
116,sporf,1749,2.1109541864146966,4.0,166.66666666666666,,0.07777777777777772
117,sporf,747,3.028120107727626,4.0,55.55555555555555,,0.07777777777777772
118,sporf,4282,1.5666060604752763,2.0,500.0,,0.07777777777777772
119,sporf,4282,1.5666060604752763,2.0,500.0,,0.07777777777777772
120,skrf,81,,,166.66666666666666,0.2616863649747853,0.07777777777777772
121,sporf,361,3.9279297089269822,2.0,166.66666666666666,,0.07777777777777772
122,sporf,6,2.1011075413273694,1.0,500.0,,0.07407407407407407
123,sporf,6,2.1011075413273694,1.0,500.0,,0.07777777777777772
124,skrf,10,,,166.66666666666666,0.23574603230015995,0.07777777777777772
125,sporf,4152,2.5052431072749606,4.0,166.66666666666666,,0.07777777777777772
126,skrf,17,,,500.0,0.24318781538615647,0.07777777777777772
127,sporf,952,0.6438276698061842,2.0,500.0,,0.07777777777777772
128,sporf,533,0.9829074586402916,2.0,500.0,,0.07407407407407407
129,sporf,15,3.6077920406889805,4.0,500.0,,0.07777777777777772
130,sporf,151,1.355285289337791,8.0,18.51851851851852,,0.08148148148148149
131,sporf,10,3.3642359545180134,2.5,18.51851851851852,,0.08518518518518514
132,sporf,16,3.5787046472458255,4.0,18.51851851851852,,0.08518518518518514
133,skrf,3,,,500.0,0.028661966978723995,0.07777777777777772
134,skrf,3,,,500.0,0.028661966978723995,0.07777777777777772
135,skrf,3,,,500.0,0.028661966978723995,0.07777777777777772
136,skrf,3,,,500.0,0.028661966978723995,0.07777777777777772
137,sporf,3125,3.31690587789375,4.0,166.66666666666666,,0.07777777777777772
138,sporf,3125,3.31690587789375,4.0,166.66666666666666,,0.07777777777777772
139,sporf,3125,3.31690587789375,4.0,166.66666666666666,,0.07777777777777772
