,clf,max_depth,max_features_sporf,sporf_fc,budget,max_features_sk,loss
0,sporf,1186,1.360247793131626,1.5,18.51851851851852,,0.1565495207667732
1,skrf,41,,,18.51851851851852,0.2577298396994951,0.19808306709265178
2,skrf,569,,,18.51851851851852,0.4602347291651692,0.17571884984025554
3,skrf,198,,,18.51851851851852,0.027646386152669268,0.18849840255591055
4,skrf,5632,,,18.51851851851852,0.17823855547699,0.17252396166134187
5,skrf,2,,,18.51851851851852,0.6908888234354459,0.21086261980830667
6,sporf,574,0.4488764878387369,4.0,18.51851851851852,,0.1437699680511182
7,skrf,754,,,18.51851851851852,0.6500340342086787,0.17571884984025554
8,skrf,35,,,18.51851851851852,0.856718026418779,0.18530351437699677
9,sporf,9,1.3036263608298229,1.5,18.51851851851852,,0.1437699680511182
10,skrf,30,,,18.51851851851852,0.7436635614550873,0.194888178913738
11,skrf,9,,,18.51851851851852,0.8734145186593932,0.194888178913738
12,sporf,532,1.553561388705461,8.0,500.0,,0.10862619808306706
13,sporf,532,1.553561388705461,8.0,500.0,,0.10543130990415339
14,sporf,532,1.553561388705461,8.0,500.0,,0.08626198083067094
15,sporf,532,1.553561388705461,8.0,500.0,,0.09265175718849838
16,skrf,4,,,55.55555555555555,0.06730275131436368,0.13418530351437696
17,skrf,4,,,55.55555555555555,0.06730275131436368,0.1565495207667732
18,sporf,376,0.29415478703107284,1.5,18.51851851851852,,0.14696485623003197
19,sporf,5,1.07143307797248,3.0,55.55555555555555,,0.10862619808306706
20,sporf,5,1.07143307797248,3.0,55.55555555555555,,0.11821086261980829
21,sporf,340,0.3801644833950385,2.5,18.51851851851852,,0.17891373801916932
22,sporf,1774,2.513799775609577,1.0,18.51851851851852,,0.17891373801916932
23,sporf,12,3.161606490592798,1.0,55.55555555555555,,0.14057507987220452
24,sporf,12,3.161606490592798,1.0,55.55555555555555,,0.13418530351437696
25,skrf,9,,,18.51851851851852,0.06870556983670224,0.18849840255591055
26,sporf,2,3.0994822747863995,2.5,55.55555555555555,,0.12460063897763574
27,sporf,2,3.0994822747863995,2.5,55.55555555555555,,0.14057507987220452
28,sporf,3,3.5880992165795678,4.0,166.66666666666666,,0.11821086261980829
29,sporf,3,3.5880992165795678,4.0,166.66666666666666,,0.11182108626198084
30,sporf,3,3.5880992165795678,4.0,166.66666666666666,,0.10223642172523961
31,sporf,33,1.0837497870287132,1.5,55.55555555555555,,0.14057507987220452
32,sporf,33,1.0837497870287132,1.5,55.55555555555555,,0.12140575079872207
33,sporf,16,1.6428461816399782,1.5,55.55555555555555,,0.13738019169329074
34,sporf,16,1.6428461816399782,1.5,55.55555555555555,,0.1309904153354633
35,sporf,12,3.7791522396672304,1.0,18.51851851851852,,0.16613418530351443
36,skrf,8,,,18.51851851851852,0.06858409407931043,0.16293929712460065
37,sporf,2,3.005919805775986,8.0,166.66666666666666,,0.12460063897763574
38,sporf,2,3.005919805775986,8.0,166.66666666666666,,0.10862619808306706
39,sporf,2,3.005919805775986,8.0,166.66666666666666,,0.10543130990415339
40,sporf,20,2.0435795356207644,1.5,166.66666666666666,,0.11182108626198084
41,sporf,20,2.0435795356207644,1.5,166.66666666666666,,0.12779552715654952
42,skrf,29,,,55.55555555555555,0.6092045892147274,0.16613418530351443
43,sporf,46,3.384992353989002,1.5,55.55555555555555,,0.1309904153354633
44,skrf,4399,,,55.55555555555555,0.6535271972383081,0.16613418530351443
45,sporf,5210,1.0491831700381122,1.0,55.55555555555555,,0.14057507987220452
46,sporf,1796,0.8330950370272321,4.0,166.66666666666666,,0.10862619808306706
47,sporf,1796,0.8330950370272321,4.0,166.66666666666666,,0.10862619808306706
48,skrf,3618,,,55.55555555555555,0.8392604651836277,0.17571884984025554
49,sporf,732,1.501862485074454,2.0,55.55555555555555,,0.12779552715654952
50,sporf,457,1.1630224380752825,4.0,500.0,,0.10543130990415339
51,sporf,457,1.1630224380752825,4.0,500.0,,0.10223642172523961
52,sporf,457,1.1630224380752825,4.0,500.0,,0.09904153354632583
53,sporf,48,3.7679041501428485,8.0,500.0,,0.08945686900958472
54,sporf,48,3.7679041501428485,8.0,500.0,,0.08306709265175716
55,sporf,54,3.4912294795663796,8.0,500.0,,0.09265175718849838
56,sporf,54,3.4912294795663796,8.0,500.0,,0.08626198083067094
57,sporf,2,3.4653373656600595,1.0,166.66666666666666,,0.13738019169329074
58,sporf,1479,0.015475603389179957,2.5,166.66666666666666,,0.5111821086261981
59,sporf,17,1.7187857086722065,4.0,166.66666666666666,,0.09904153354632583
60,sporf,50,1.7628149348527857,8.0,166.66666666666666,,0.09265175718849838
61,sporf,79,3.37239921617527,8.0,500.0,,0.08306709265175716
62,sporf,50,3.743452211347284,8.0,500.0,,0.08626198083067094
63,sporf,7,1.897902350494272,2.5,500.0,,0.10862619808306706
64,sporf,18,1.8508155923643153,4.0,500.0,,0.09584664536741216
65,sporf,7,3.7208748714976654,8.0,55.55555555555555,,0.09265175718849838
66,sporf,7,3.7208748714976654,8.0,55.55555555555555,,0.08945686900958472
67,sporf,44,3.674890292716849,8.0,18.51851851851852,,0.09904153354632583
68,skrf,62,,,18.51851851851852,0.5940134468895448,0.1693290734824281
69,skrf,13,,,18.51851851851852,0.5688449700074382,0.17252396166134187
70,sporf,54,3.268876586625107,8.0,166.66666666666666,,0.08945686900958472
71,sporf,54,3.268876586625107,8.0,166.66666666666666,,0.08306709265175716
72,sporf,54,3.268876586625107,8.0,166.66666666666666,,0.09265175718849838
73,sporf,40,3.594504544132012,8.0,55.55555555555555,,0.07667731629392971
74,sporf,40,3.594504544132012,8.0,55.55555555555555,,0.09584664536741216
75,sporf,2,0.46930502864665524,1.5,18.51851851851852,,0.194888178913738
76,sporf,41,3.7736263645246853,8.0,500.0,,0.07987220447284349
77,sporf,41,3.7736263645246853,8.0,500.0,,0.08306709265175716
78,sporf,41,3.7736263645246853,8.0,500.0,,0.08626198083067094
79,sporf,41,3.7736263645246853,8.0,500.0,,0.08306709265175716
80,sporf,88,3.316948698647155,8.0,18.51851851851852,,0.10862619808306706
81,skrf,488,,,18.51851851851852,0.6633657223818411,0.17891373801916932
82,sporf,27,3.341924931173979,8.0,18.51851851851852,,0.09904153354632583
83,sporf,5,3.595198843506921,8.0,18.51851851851852,,0.10862619808306706
84,sporf,829,2.419739259015395,3.0,18.51851851851852,,0.10543130990415339
85,skrf,491,,,18.51851851851852,0.1164154358062026,0.19169329073482433
86,sporf,66,3.3375280010534047,8.0,18.51851851851852,,0.09584664536741216
87,sporf,20,3.2743223919286204,8.0,166.66666666666666,,0.09584664536741216
88,sporf,20,3.2743223919286204,8.0,166.66666666666666,,0.07987220447284349
89,sporf,20,3.2743223919286204,8.0,166.66666666666666,,0.08945686900958472
90,sporf,3,2.26602257615871,3.0,18.51851851851852,,0.12779552715654952
91,sporf,37,3.2544818162438687,8.0,55.55555555555555,,0.08945686900958472
92,sporf,37,3.2544818162438687,8.0,55.55555555555555,,0.09584664536741216
93,sporf,57,2.0070310246504683,4.0,18.51851851851852,,0.10223642172523961
94,sporf,115,3.801026932010982,8.0,55.55555555555555,,0.08306709265175716
95,sporf,115,3.801026932010982,8.0,55.55555555555555,,0.09584664536741216
96,sporf,40,1.9567105710833885,4.0,18.51851851851852,,0.12140575079872207
97,sporf,66,3.015763930454915,8.0,18.51851851851852,,0.10543130990415339
98,sporf,38,3.2750568156418214,8.0,55.55555555555555,,0.08945686900958472
99,sporf,38,3.2750568156418214,8.0,55.55555555555555,,0.09265175718849838
100,sporf,52,3.1900220641357104,8.0,18.51851851851852,,0.10862619808306706
101,sporf,19,0.30980540141570817,3.0,18.51851851851852,,0.1565495207667732
102,sporf,35,2.8160663836657736,8.0,55.55555555555555,,0.08626198083067094
103,sporf,35,2.8160663836657736,8.0,55.55555555555555,,0.09904153354632583
104,sporf,16,3.848797679471759,8.0,18.51851851851852,,0.09584664536741216
105,skrf,363,,,55.55555555555555,0.06816137223800783,0.1693290734824281
106,sporf,190,0.13561646374058464,1.0,55.55555555555555,,0.5111821086261981
107,sporf,5,1.708927275859391,4.0,55.55555555555555,,0.10862619808306706
108,sporf,42,3.996885543970686,8.0,500.0,,0.07987220447284349
109,sporf,42,3.996885543970686,8.0,500.0,,0.07667731629392971
110,sporf,42,3.996885543970686,8.0,500.0,,0.07348242811501593
111,sporf,34,3.5568286798246405,8.0,166.66666666666666,,0.09265175718849838
112,sporf,34,3.5568286798246405,8.0,166.66666666666666,,0.09265175718849838
113,sporf,26,2.0317848751487513,3.0,55.55555555555555,,0.11182108626198084
114,sporf,65,3.6213871859689224,8.0,55.55555555555555,,0.09265175718849838
115,sporf,1959,1.855655212154747,1.5,55.55555555555555,,0.13738019169329074
116,sporf,37,3.5718230343692188,8.0,166.66666666666666,,0.08945686900958472
117,sporf,37,3.5718230343692188,8.0,166.66666666666666,,0.09265175718849838
118,skrf,325,,,166.66666666666666,0.5242990713038017,0.16293929712460065
119,skrf,189,,,166.66666666666666,0.06298766160325342,0.1565495207667732
120,sporf,28,3.7775635048099843,8.0,166.66666666666666,,0.08306709265175716
121,skrf,2,,,166.66666666666666,0.6016914515252134,0.194888178913738
122,sporf,47,3.8182787069166535,8.0,500.0,,0.07028753993610226
123,sporf,47,3.8182787069166535,8.0,500.0,,0.08945686900958472
124,sporf,38,3.7942650099551756,8.0,500.0,,0.07987220447284349
125,sporf,38,3.7942650099551756,8.0,500.0,,0.08306709265175716
126,sporf,34,3.922213157927932,8.0,500.0,,0.08945686900958472
127,sporf,45,3.90707607156308,8.0,500.0,,0.08306709265175716
128,sporf,40,3.9815892082986197,8.0,500.0,,0.07987220447284349
129,sporf,27,3.7266301840362983,4.0,500.0,,0.09265175718849838
130,sporf,45,3.927056541577143,8.0,500.0,,0.08306709265175716
131,sporf,45,3.927056541577143,8.0,500.0,,0.07987220447284349
132,sporf,45,3.927056541577143,8.0,500.0,,0.08306709265175716
133,sporf,45,3.927056541577143,8.0,500.0,,0.07987220447284349
134,sporf,40,3.696572933070569,8.0,18.51851851851852,,0.10223642172523961
135,sporf,69,1.4510268570741556,2.0,18.51851851851852,,0.14057507987220452
136,sporf,50,3.7831685997174223,8.0,18.51851851851852,,0.10862619808306706
137,sporf,40,3.8563165314438703,8.0,55.55555555555555,,0.09265175718849838
138,sporf,40,3.8563165314438703,8.0,55.55555555555555,,0.09904153354632583
139,skrf,11,,,18.51851851851852,0.33054878121279735,0.17252396166134187
140,skrf,3,,,18.51851851851852,0.1573064782878455,0.1693290734824281
141,skrf,4004,,,18.51851851851852,0.4403162431202887,0.19169329073482433
142,sporf,19,3.796054335437102,4.0,55.55555555555555,,0.08945686900958472
143,sporf,19,3.796054335437102,4.0,55.55555555555555,,0.10543130990415339
144,sporf,51,3.7091958049586524,8.0,166.66666666666666,,0.07987220447284349
145,sporf,51,3.7091958049586524,8.0,166.66666666666666,,0.08945686900958472
146,sporf,51,3.7091958049586524,8.0,166.66666666666666,,0.08945686900958472
147,sporf,34,3.988901412381251,8.0,55.55555555555555,,0.08945686900958472
148,sporf,34,3.988901412381251,8.0,55.55555555555555,,0.10543130990415339
149,sporf,38,3.857811289426827,8.0,55.55555555555555,,0.09265175718849838
150,sporf,38,3.857811289426827,8.0,55.55555555555555,,0.09584664536741216
151,sporf,45,3.7170101548452843,8.0,18.51851851851852,,0.10543130990415339
152,sporf,35,3.842205952694324,8.0,18.51851851851852,,0.11182108626198084
153,sporf,37,3.8288440391570573,8.0,166.66666666666666,,0.07028753993610226
154,sporf,37,3.8288440391570573,8.0,166.66666666666666,,0.08626198083067094
155,sporf,37,3.8288440391570573,8.0,166.66666666666666,,0.08626198083067094
156,skrf,289,,,18.51851851851852,0.7554518473820266,0.17891373801916932
157,sporf,39,3.940241516937804,8.0,18.51851851851852,,0.10543130990415339
158,sporf,41,3.864475905210492,8.0,18.51851851851852,,0.11182108626198084
159,sporf,177,3.6075610959929834,1.0,18.51851851851852,,0.14057507987220452
160,sporf,39,3.883762321646366,8.0,55.55555555555555,,0.09265175718849838
161,sporf,39,3.883762321646366,8.0,55.55555555555555,,0.08945686900958472
162,skrf,405,,,18.51851851851852,0.5526749375640443,0.19808306709265178
163,skrf,18,,,18.51851851851852,0.5712260869005148,0.15015974440894564
164,sporf,41,3.7550185704781116,8.0,18.51851851851852,,0.09584664536741216
165,sporf,45,3.7564891923117956,8.0,18.51851851851852,,0.09265175718849838
166,sporf,41,3.8469447451743504,8.0,18.51851851851852,,0.10862619808306706
167,sporf,45,3.863946800699741,8.0,55.55555555555555,,0.07987220447284349
168,sporf,45,3.863946800699741,8.0,55.55555555555555,,0.09265175718849838
169,sporf,44,3.8790543168227978,8.0,18.51851851851852,,0.12140575079872207
170,sporf,281,0.255309075122969,8.0,55.55555555555555,,0.11821086261980829
171,sporf,2595,3.4414225243109104,3.0,55.55555555555555,,0.10223642172523961
172,skrf,12,,,55.55555555555555,0.6297402866471654,0.1565495207667732
173,sporf,42,3.754230470399213,8.0,166.66666666666666,,0.08626198083067094
174,sporf,42,3.754230470399213,8.0,166.66666666666666,,0.08306709265175716
175,sporf,41,3.9422119877431356,8.0,166.66666666666666,,0.09265175718849838
176,sporf,41,3.9422119877431356,8.0,166.66666666666666,,0.08306709265175716
177,sporf,41,3.69274408558728,8.0,55.55555555555555,,0.09904153354632583
178,sporf,41,3.893043923568641,8.0,500.0,,0.08306709265175716
179,sporf,41,3.893043923568641,8.0,500.0,,0.07987220447284349
180,sporf,41,3.893043923568641,8.0,500.0,,0.07028753993610226
181,skrf,12,,,55.55555555555555,0.5479904510766584,0.1565495207667732
182,sporf,37,3.757797010030095,4.0,55.55555555555555,,0.09584664536741216
